"census metropolitan areas","mean","percentiles of mean income ratios across census tracts","percentiles of mean income ratios across census tracts","percentiles of mean income ratios across census tracts","percentiles of mean income ratios across census tracts","percentiles of mean income ratios across census tracts"
"census metropolitan areas","mean","5th","25th","50th","75th","95th"
"census metropolitan areas","ratio","ratio","ratio","ratio","ratio","ratio"
"halifax","0.81","0.47","0.66","0.78","0.90","1.39"
"quebec","0.81","0.50","0.62","0.81","0.93","1.16"
"montreal","0.83","0.43","0.61","0.77","0.96","1.43"
"ottawa-gatineau","0.81","0.44","0.62","0.77","0.96","1.28"
"toronto","0.79","0.44","0.63","0.76","0.91","1.20"
"winnipeg","0.78","0.47","0.66","0.77","0.86","1.08"
"calgary","0.81","0.47","0.68","0.80","0.92","1.10"
"edmonton","0.82","0.57","0.68","0.81","0.93","1.13"
"vancouver","0.95","0.58","0.84","0.95","1.07","1.27"
