"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"valledupar","2011","categoria primera b","36","2","13","2","-","-","0","0","49","4"
"valledupar","2012","categoria primera b","16","1","5","0","-","-","0","0","21","1"
"valledupar","total","total","52","3","18","2","-","-","0","0","70","5"
"real cartagena","2012","categoria primera a","7","0","0","0","-","-","0","0","7","0"
"real cartagena","2013","categoria primera b","24","0","7","2","-","-","0","0","31","2"
"real cartagena","total","total","31","0","7","2","-","-","0","0","38","2"
"cortulua","2015","categoria primera b","0","0","1","0","-","-","0","0","1","0"
"llaneros","2015","categoria primera b","5","0","0","0","-","-","0","0","5","0"
"career total","career total","career total","88","3","26","4","-","-","0","0","114","7"
