"","canada","oil-producing provinces","central provinces","other provinces"
"","percent","percent","percent","percent"
"all occupational categories","2.7","4.2","2.4","2.5"
"managers and senior managers","2.4","3.6","2.2","2.2"
"professionals","3.4","3.7","3.4","2.9"
"technical personnel","4.0","6.4","3.6","3.0"
"trades workers","3.6","7.2","2.7","3.3"
"apprentices","2.7","3.0","2.4","3.0"
"sales and marketing personnel","1.9","3.8","1.8","1.4"
"administrative and office personnel","2.0","2.4","2.0","1.8"
"production or services workers","2.5","4.2","2.1","2.6"
"others","2.0","3.8","1.5","2.0"
