"","education level","education level","education level","education level"
"","college","bachelor's","master's","doctorate"
"","percent","percent","percent","percent"
"total","60.7","48.7","36.7","18.6"
"men","47.9","43.3","27.6","14.7"
"women","70.7","52.5","43.0","23.0"
"age group","","","",""
"younger than 25 years","62.1","45.3","33.4","x"
"25 to 29 years","62.3","50.5","47.0","33.7"
"30 to 39 years","59.3","47.7","33.8","19.9"
"40 years and older","57.0","40.0","25.2","14.4"
"field of study","","","",""
"education","81.5","92.0","24.0","9.2"
"visual and performing arts, and communications technologies","52.5","30.3","23.5","14.6"
"humanities","38.2","18.7","32.4","9.3"
"social and behavioural sciences and law","81.9","28.6","41.5","41.6"
"business, management and public administration","50.4","29.7","34.2","7.6"
"physical and life sciences and technologies","53.1","26.8","18.2","10.9"
"mathematics, computer and information sciences","52.7","47.3","33.7","18.3"
"architecture, engineering and related technologies","42.1","64.6","19.3","14.3"
"agriculture, natural resources and conservation","46.6","41.8","41.3","14.0"
"health and related fields","88.2","84.3","74.4","18.1"
"personal, protective and transportation services","51.9","50.8","28.0","x"
"other fields","29.4","21.3","47.4","29.2"
"province of study","","","",""
"newfoundland and labrador","58.5","59.2","21.9","17.3"
"prince edward island","74.4","55.4","36.0","x"
"nova scotia","89.3","49.4","39.6","20.3"
"new brunswick","88.9","44.4","35.8","26.7"
"quebec","66.6","49.6","33.8","26.0"
"ontario","57.2","45.3","41.0","15.0"
"manitoba","65.3","53.6","38.6","13.3"
"saskatchewan","64.7","55.3","30.4","14.7"
"alberta","59.0","54.2","31.3","14.3"
"british columbia","52.3","49.6","37.7","18.9"
"immigrant status","","","",""
"yes","53.4","39.1","29.8","14.7"
"no","62.7","51.2","39.8","21.2"
"indigenous identity","","","",""
"yes","63.8","57.7","45.8","23.7"
"no","60.4","48.5","36.5","18.6"
"has a disability","","","",""
"yes","67.6","49.4","41.5","16.5"
"no","58.5","48.5","35.7","19.1"
