"year","title","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","certifications","album"
"year","title","us country","us country airplay","us","us ac","us christ","can country","can","certifications","album"
"2010","all about tonight","1","1","37","-","-","3","63","none","all about tonight"
"2010","who are you when i'm not looking","1","1","46","-","-","3","72","riaa: platinum","all about tonight"
"2011","honey bee","1","1","13","-","-","1","28","riaa: 3× platinum","red river blue"
"2011","god gave me you","1","1","22","29","-","1","38","riaa: 3× platinum","red river blue"
"2012","drink on it","1","1","39","-","-","1","53","riaa: platinum","red river blue"
"2012","over","1","1","43","-","-","1","59","riaa: platinum","red river blue"
"2013","sure be cool if you did","1","1","24","-","-","1","32","riaa: 2× platinum mc: platinum","based on a true story.."
"2013","boys 'round here","2","1","12","-","-","1","12","riaa: 3× platinum mc: 3× platinum","based on a true story.."
"2013","mine would be you","2","1","28","-","-","1","35","riaa: platinum mc: platinum","based on a true story.."
"2014","doin' what she likes","3","1","35","-","-","1","35","riaa: platinum mc: gold","based on a true story.."
"2014","my eyes","4","1","39","-","-","1","39","riaa: gold mc: gold","based on a true story.."
"2014","neon light","3","1","43","-","-","1","49","riaa: gold mc: gold","bringing back the sunshine"
"2014","lonely tonight","2","1","47","-","-","1","42","riaa: gold mc: gold","bringing back the sunshine"
"2015","sangria","3","1","38","-","-","1","43","riaa: platinum mc: platinum","bringing back the sunshine"
"2015","gonna","4","1","54","-","-","1","69","riaa: gold","bringing back the sunshine"
"2016","came here to forget","2","1","36","-","-","1","56","riaa: gold mc: gold","if i'm honest"
"2016","savior's shadow","50","-","-","-","14","-","-","none","if i'm honest"
"2016","she's got a way with words","8","7","61","-","-","2","76","riaa: gold mc: gold","if i'm honest"
"2016","a guy with a girl","3","1","42","-","-","1","77","none","if i'm honest"
"2017","every time i hear that song","8","1","56","-","-","2","100","none","if i'm honest"
"2017","i'll name the dogs","6","1","56","-","-","1","78","riaa: gold mc: platinum","texoma shore"
"2018","i lived it","8","3","63","-","-","3","-","mc: gold","texoma shore"
"2018","turnin' me on","14","10","-","-","-","20","-","none","texoma shore"
"2019","god's country","2","15","43","-","-","25","53","none","tba"
""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart"
