"club","season","league","league","league","national cup","national cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"ado den haag","2007-08","eerste divisie","25","2","1","0","-","-","-","-","7","1","33","3"
"heerenveen","2008-09","eredivisie","10","0","1","0","-","-","1","0","-","-","12","0"
"heerenveen","2009-10","eredivisie","28","0","2","1","-","-","4","1","1","0","35","2"
"heerenveen","2010-11","eredivisie","24","3","1","0","-","-","-","-","-","-","25","3"
"heerenveen","2011-12","eredivisie","22","2","5","1","-","-","-","-","-","-","27","3"
"heerenveen","total","total","84","7","9","2","-","-","5","1","1","0","99","8"
"feyenoord","2012-13","eredivisie","33","3","2","0","-","-","4","0","-","-","39","3"
"feyenoord","2013-14","eredivisie","30","2","4","0","-","-","1","0","-","-","35","2"
"feyenoord","total","total","63","5","6","0","-","-","5","0","-","-","74","5"
"newcastle united","2014-15","premier league","37","1","0","0","3","0","-","-","-","-","40","1"
"newcastle united","2015-16","premier league","32","2","1","0","2","1","-","-","-","-","35","3"
"newcastle united","2016-17","championship","2","0","-","-","-","-","-","-","-","-","2","0"
"newcastle united","total","total","71","3","1","0","5","1","-","-","-","-","77","4"
"watford","2016-17","premier league","27","2","1","0","-","-","-","-","-","-","28","2"
"watford","2017-18","premier league","23","3","2","0","0","0","-","-","-","-","25","3"
"watford","2018-19","premier league","11","0","3","0","0","0","-","-","-","-","14","0"
"watford","total","total","61","5","7","0","-","-","-","-","-","-","67","5"
"career total","career total","career total","304","20","23","2","5","1","10","1","8","1","350","25"
