"basis of discrimination","women","women","men","men"
"basis of discrimination","visible minority","not a visible minority","visible minority","not a visible minority"
"basis of discrimination","percentage","percentage","percentage","percentage"
"sex","29","39","14","15"
"ethnicity of culture","62","19","65","29"
"race or skin colour","62","17","66","27"
"physical appearance","24","26","20","21"
"religion","20","12","24","15"
"sexual orientation","f","7","3","6"
"age","14","26","11","20"
"physical or mental disability","f","14","3","14"
"language","29","14","26","22"
"other","4","4","6","5"
