"title","album details","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","sales","certifications"
"title","album details","can","aus","aut","ger","irl","nz","swe","swi","uk","us","sales","certifications"
"curb","released: may 16, 1996 label: factor format: cd","-","-","-","79","-","-","-","72","185","182","none","bpi: silver mc: gold"
"the state","released: september 1, 1998 label: none (self-released) format: cd","-","-","-","57","-","-","-","-","128","130","none","bpi: silver mc: platinum riaa: platinum"
"silver side up","released: september 11, 2001 labels: emi, roadrunner formats: cd, cs","1","5","1","4","1","1","2","4","1","2","ww: 10,000,000 us: 5,528,000","aria: platinum bpi: 3× platinum bvmi: platinum ifpi aut: platinum ifpi swi: platinum mc: 8× platinum riaa: 6× platinum rmnz: gold"
"the long road","released: september 23, 2003 labels: emi, roadrunner formats: cd, cs","1","4","4","4","9","3","27","4","5","6","us: 3,591,000","aria: 3× platinum bpi: platinum bvmi: gold ifpi aut: gold ifpi swi: gold mc: 5× platinum riaa: 3× platinum rmnz: gold"
"all the right reasons","released: october 4, 2005 labels: emi, roadrunner formats: cd, cd+dvd","1","2","7","4","4","1","22","4","2","1","ww: 11,000,000 nz: 60,000 us: 7,910,000","aria: 4× platinum bpi: 2× platinum bvmi: 3× gold ifpi aut: gold ifpi swi: gold mc: 7× platinum riaa: diamond rmnz: 3× platinum"
"dark horse","released: november 18, 2008 labels: emi, roadrunner formats: cd, lp, dl","1","3","5","4","19","3","9","5","4","2","none","aria: 3× platinum bpi: platinum bvmi: platinum ifpi aut: gold ifpi swe: gold mc: 6× platinum riaa: 3× platinum rmnz: platinum"
"here and now","released: november 21, 2011 label: roadrunner formats: cd, lp, dl","1","1","3","2","26","7","6","2","10","2","ww: 2,000,000","aria: 2× platinum bpi: gold bvmi: gold ifpi swe: gold ifpi swi: platinum mc: 2× platinum riaa: platinum rmnz: gold"
"no fixed address","released: november 18, 2014 label: republic formats: cd, cd+dvd, lp, dl","2","3","4","7","30","12","13","3","12","4","can: 58,000 us: 320,000","aria: platinum bpi: silver bvmi: gold ifpi aut: platinum mc: platinum"
"feed the machine","released: june 16, 2017 label: bmg formats: cd, dl","2","3","4","6","57","4","6","2","3","5","us: 200,000","none"
""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region"
