"club","season","division","league","league","fa cup","fa cup","league cup","league cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"portsmouth","1952-53","first division","2","0","0","0","-","-","2","0"
"portsmouth","1953-54","first division","3","0","0","0","-","-","3","0"
"portsmouth","total","total","5","0","0","0","-","-","5","0"
"bournemouth","1953-54","third division south","8","1","0","0","-","-","8","1"
"bournemouth","1954-55","third division south","25","6","3","1","-","-","28","7"
"bournemouth","total","total","33","7","3","1","-","-","36","8"
"norwich city","1955-56","third division south","45","31","3","2","-","-","48","33"
"norwich city","1956-57","third division south","43","20","1","1","-","-","44","21"
"norwich city","1957-58","third division south","36","16","4","2","-","-","40","18"
"norwich city","total","total","124","67","8","5","-","-","132","72"
"derby county","1958-59","second division","24","10","0","0","-","-","24","10"
"grimsby town","1959-60","third division","39","33","1","1","-","-","40","34"
"grimsby town","1960-61","third division","14","6","0","0","0","0","14","6"
"grimsby town","total","total","53","39","1","1","0","0","54","40"
"swindon town","1961-62","third division","21","13","2","1","2","1","25","15"
"port vale","1961-62","third division","14","6","-","-","14","6","none","none"
"newport county","1962-63","fourth division","44","27","1","0","3","1","48","28"
"newport county","1963-64","fourth division","39","10","5","5","1","1","45","16"
"newport county","total","total","83","37","6","5","4","2","93","44"
"chesterfield","1964-65","fourth division","17","5","1","0","3","5","21","10"
"career total","career total","career total","374","184","21","13","9","8","404","205"
