"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"boca juniors","2013-14","primera division","0","0","0","0","-","-","0","0","0","0","0","0"
"boca juniors","2014","primera division","0","0","0","0","-","-","0","0","0","0","0","0"
"boca juniors","2015","primera division","0","0","0","0","-","-","0","0","0","0","0","0"
"boca juniors","2016","primera division","0","0","0","0","-","-","0","0","0","0","0","0"
"boca juniors","2016-17","primera division","0","0","0","0","-","-","0","0","0","0","0","0"
"boca juniors","total","total","0","0","0","0","-","-","0","0","0","0","0","0"
"estudiantes","2013-14","primera b metropolitana","0","0","0","0","-","-","0","0","0","0","none","none"
"estudiantes","2014","primera b metropolitana","0","0","0","0","-","-","0","0","0","0","none","none"
"estudiantes","2015","primera b metropolitana","44","0","2","0","-","-","0","0","46","0","none","none"
"estudiantes","total","total","44","0","2","0","-","-","0","0","46","0","none","none"
"godoy cruz","2017-18","primera division","0","0","0","0","-","-","0","0","0","0","none","none"
"almirante brown","2018-19","primera b metropolitana","14","0","0","0","-","-","0","0","14","0","none","none"
"career total","career total","career total","58","0","2","0","-","-","0","0","0","0","60","0"
