"","aggregate income","aggregate income","aggregate income","percentage of income in t1 hpmf captured by t1 pmf","percentage of income in t1 hpmf captured by t1 pmf"
"","initial tax filers","initial tax filers","delayed tax filers","for initial tax filers","for all tax filers"
"","billions of 2010 constant dollars","billions of 2010 constant dollars","billions of 2010 constant dollars","percent","percent"
"employment earnings","","","","",""
"1990","468.3","468.6","20.5","99.9","95.7"
"1995","465.5","465.6","14.0","100.0","97.1"
"2000","563.0","563.5","25.0","99.9","95.7"
"2005","621.5","622.4","25.6","99.8","95.9"
"2010","681.2","681.7","22.2","99.9","96.8"
"business self-employment","","","","",""
"1990","11.6","11.9","1.0","97.1","89.9"
"1995","12.9","13.3","1.0","96.8","90.1"
"2000","19.0","19.6","2.0","97.0","87.9"
"2005","22.5","23.1","2.4","97.3","88.2"
"2010","23.3","23.5","1.8","99.0","91.9"
"employment insurance","","","","",""
"1990","18.3","18.3","1.0","100.0","95.0"
"1995","16.5","16.4","0.6","100.0","96.3"
"2000","11.2","11.2","0.6","100.0","95.2"
"2005","13.4","13.4","0.6","100.0","95.5"
"2010","18.8","18.8","0.7","100.0","96.2"
"old age security","","","","",""
"1990","15.1","15.1","0.4","100.0","97.7"
"1995","18.6","18.6","0.3","100.0","98.6"
"2000","21.4","21.4","0.2","100.0","99.1"
"2005","23.6","23.5","0.2","100.0","99.1"
"2010","26.9","26.9","0.2","100.0","99.2"
"total","","","","",""
"1990","674.2","676.3","27.9","99.7","95.7"
"1995","706.1","707.6","20.5","99.8","97.0"
"2000","854.2","857.3","34.3","99.6","95.8"
"2005","932.3","934.8","35.6","99.7","96.1"
"2010","1,051.4","1,052.7","30.3","99.9","97.1"
