"team","from","to","record","record","record","record","record","record","record","record","record"
"team","from","to","m","w","d","l","gf","ga","gd","win %","ref"
"rot-weiss essen","1 july 1986","14 september 1987","48","16","12","20","77","84","-7","33.33","none"
"vfl wolfsburg","1 july 1988","30 june 1989","2","0","1","1","2","7","-5","0.00","none"
"swarovski tirol","1 january 1992","30 june 1992","14","9","0","5","21","15","+6","64.29","none"
"hansa rostock","4 january 1993","26 june 1993","21","7","4","10","21","29","-8","33.33","none"
"dynamo dresden","22 november 1994","1 march 1995","5","0","2","3","3","7","-4","0.00","none"
"austria wien","1 july 1995","1 june 1996","41","16","9","16","52","40","+12","39.02","none"
"samsunspor","21 june 1997","30 june 1998","38","17","7","14","49","45","+4","44.74","none"
"total","total","total","169","65","35","69","225","227","-2","38.46","-"
