"club","season","league","league","league","cup1","cup1","league cup2","league cup2","continental3","continental3","other4","other4","total","total"
"club","season","league","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"lyon","2013-14","ligue 1","14","1","1","0","1","0","9","0","-","-","25","1"
"lyon","2014-15","ligue 1","38","7","2","0","0","0","3","0","-","-","43","7"
"lyon","2015-16","ligue 1","33","5","4","1","2","1","6","0","0","0","45","7"
"lyon","2016-17","ligue 1","31","8","1","1","0","0","14","4","1","1","47","14"
"lyon","total","total","116","21","8","2","3","1","32","4","1","1","160","29"
"bayern munich","2017-18","bundesliga","26","6","5","1","-","-","8","3","1","0","40","10"
"bayern munich","2018-19","bundesliga","2","1","1","0","-","-","0","0","0","0","3","1"
"bayern munich","total","total","28","7","6","1","-","-","8","3","1","0","43","11"
"career total","career total","career total","144","28","14","3","3","1","40","7","2","1","203","40"
