"year diagnosed","ontario","ontario","manitoba","manitoba"
"year diagnosed","n","%","n","%"
"1992 to 2008","876,624","97.9","108,314","95.8"
"1992","42,953","96.8","6,068","88.2"
"1993","43,690","96.9","6,253","93.1"
"1994","44,347","97.1","6,237","94.6"
"1995","44,108","97.4","6,135","94.2"
"1996","44,677","97.4","6,046","93.5"
"1997","47,129","97.8","6,226","94.7"
"1998","48,003","97.8","6,381","95.2"
"1999","49,493","98.0","6,392","95.1"
"2000","50,942","98.1","6,586","96.0"
"2001","52,308","98.4","6,590","96.2"
"2002","53,381","98.1","6,622","96.6"
"2003","54,000","98.1","6,458","97.1"
"2004","56,776","98.1","6,452","97.8"
"2005","59,310","98.3","6,334","98.4"
"2006","60,863","98.2","6,256","98.8"
"2007","62,927","98.3","6,569","98.9"
"2008","61,717","98.5","6,709","99.2"
