"","%","95% confidence interval","95% confidence interval","unadjusted odds ratio","95% confidence interval","95% confidence interval","p","adjusted odds ratio","95% confidence interval","95% confidence interval","p"
"","%","from","to","unadjusted odds ratio","from","to","p","adjusted odds ratio","from","to","p"
"total","77.8","77.2","78.3","..","..","..","..","..","..","..",".."
"age","","","","","","","","","","",""
"18 to 24 years","86.7","85.7","87.8","2.58","2.33","2.86","<0.001","2.24","2.01","2.49","<0.001"
"25 to 44 years","80.2","79.4","81.1","1.60","1.49","1.73","<0.001","1.62","1.50","1.76","<0.001"
"45 to 64 years","71.7","70.7","72.7","1.00","..","..","..","1.00","","..",".."
"sex","","","","","","","","","","",""
"men","81.8","81.0","82.5","1.59","1.49","1.71","<0.001","1.51","1.41","1.63","<0.001"
"women","73.8","72.9","74.7","1.00","..","..","..","1.00","..","..",".."
"province or territory","","","","","","","","","","",""
"newfoundland and labrador","82.0","79.7","84.3","2.63","2.18","3.17","<0.001","2.70","2.23","3.28","<0.001"
"prince edward island","73.9","70.5","77.4","1.64","1.33","2.02","<0.001","1.58","1.27","1.97","<0.001"
"nova scotia","63.4","60.8","66.0","1.00","..","..","..","1.00","..","..",".."
"new brunswick","72.3","69.9","74.7","1.51","1.27","1.78","<0.001","1.50","1.27","1.79","<0.001"
"quebec","85.4","84.3","86.4","3.36","2.93","3.87","<0.001","3.21","2.78","3.71","<0.001"
"ontario","76.0","75.0","77.1","1.83","1.62","2.07","<0.001","1.97","1.74","2.24","<0.001"
"manitoba","78.2","75.8","80.7","2.08","1.73","2.49","<0.001","2.07","1.72","2.48","<0.001"
"saskatchewan","75.9","73.8","77.9","1.82","1.56","2.12","<0.001","1.73","1.47","2.04","<0.001"
"alberta","74.8","73.1","76.5","1.71","1.48","1.97","<0.001","1.68","1.44","1.95","<0.001"
"british columbia","76.0","74.5","77.6","1.83","1.60","2.11","<0.001","1.87","1.62","2.16","<0.001"
"yukon","76.0","72.5","79.6","1.83","1.48","2.27","<0.001","1.70","1.36","2.11","<0.001"
"northwest territories","68.7","64.4","73.0","1.27","1.01","1.59","0.04","0.88","0.68","1.12","0.29"
"nunavut","72.4","68.0","76.8","1.52","1.18","1.94","0.00","0.74","0.55","0.99","0.04"
"education","","","","","","","","","","",""
"high school or less","80.8","79.8","81.9","1.62","1.48","1.77","<0.001","1.51","1.37","1.68","<0.001"
"postsecondary below the bachelor's level","79.4","78.6","80.2","1.48","1.36","1.61","<0.001","1.38","1.26","1.51","<0.001"
"university degree","72.2","70.9","73.5","1.00","..","..","..","1.00","..","..",".."
"total household income","","","","","","","","","","",""
"$0 to $29,999","80.9","79.3","82.5","1.40","1.25","1.56","<0.001","1.14","1.01","1.28","0.03"
"$30,000 to $59,999","79.8","78.6","81.0","1.30","1.20","1.42","<0.001","1.14","1.04","1.25","0.01"
"$60,000 to $89,999","78.7","77.5","79.8","1.22","1.12","1.32","<0.001","1.12","1.02","1.22","0.01"
"$90,000 or more","75.2","74.3","76.1","1.00","..","..","..","1.00","..","..",".."
"country of birth","","","","","","","","","","",""
"other","77.1","75.7","78.5","0.95","0.87","1.04","0.27","..","..","..",".."
"canada","78.0","77.3","78.6","1.00","..","..","..","..","..","..",".."
"aboriginal identity","","","","","","","","","","",""
"none","77.7","77.1","78.3","1.00","..","..","..","..","..","..",".."
"first nations","79.0","75.7","82.2","1.08","0.89","1.31","0.43","..","..","..",".."
"metis","79.9","76.5","83.3","1.14","0.91","1.42","0.25","..","..","..",".."
"inuk or inuit","76.6","71.7","81.4","0.94","0.71","1.24","0.65","..","..","..",".."
"mother tongue","","","","","","","","","","",""
"english","75.4","74.7","76.2","1.00","..","..","..","..","..","..",".."
"french","83.4","82.4","84.5","1.64","1.51","1.78","<0.001","..","..","..",".."
"other","78.1","76.7","79.5","1.16","1.06","1.27","0.00","..","..","..",".."
"area of residence","","","","","","","","","","",""
"urban","77.4","76.7","78.1","1.00","..","","","1.00","","",""
"rural","79.4","78.4","80.4","1.12","1.05","1.21","0.00","1.17","1.08","1.27","<0.001"
"has a family doctor","","","","","","","","","","",""
"no","88.5","87.5","89.6","2.55","2.29","2.84","<0.001","2.01","1.80","2.25","<0.001"
"yes","75.2","74.5","75.8","1.00","..","..","..","1.00","..","..",".."
"perceived health","","","","","","","","","","",""
"excellent","77.3","76.1","78.5","1.17","0.86","1.59","0.33","..","..","..",".."
"very good","77.9","77.1","78.7","1.21","0.89","1.64","0.22","..","..","..",".."
"good","78.6","77.5","79.7","1.26","0.93","1.72","0.14","..","..","..",".."
"fair","75.3","72.5","78.2","1.05","0.75","1.46","0.79","..","..","..",".."
"poor","74.5","68.7","80.2","1.00","..","..","..","..","..","..",".."
