"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"west bromwich albion","1976-77","first division","16","1","0","0","0","0","0","0","16","1"
"west bromwich albion","1977-78","first division","40","0","6","0","3","0","0","0","49","0"
"west bromwich albion","1978-79","first division","39","1","6","0","3","0","8","0","56","1"
"west bromwich albion","1979-80","first division","16","0","2","0","5","0","2","0","25","0"
"west bromwich albion","1980-81","first division","31","0","0","0","4","0","0","0","35","0"
"west bromwich albion","1981-82","first division","35","0","5","1","8","1","2","0","50","2"
"west bromwich albion","1982-83","first division","32","2","2","0","1","0","0","0","35","2"
"west bromwich albion","1983-84","first division","16","0","1","0","0","0","0","0","17","0"
"west bromwich albion","1984-85","first division","30","4","1","0","4","0","0","0","35","4"
"west bromwich albion","1985-86","first division","37","0","2","1","6","0","2","0","47","1"
"west bromwich albion","1986-87","second division","6","0","1","0","0","0","0","0","7","0"
"west bromwich albion","1987-88","second division","1","0","0","0","0","0","0","0","1","0"
"west bromwich albion","total","total","299","8","26","2","34","1","14","0","373","11"
"southampton","1987-88","first division","38","0","2","0","2","1","1","0","41","1"
"southampton","1988-89","first division","26","2","2","1","5","0","2","0","35","3"
"southampton","total","total","64","2","4","1","7","1","3","0","76","4"
"stoke city","1989-90","second division","19","0","0","0","2","0","0","0","21","0"
"stoke city","1990-91","third division","22","1","3","0","3","0","0","0","28","1"
"stoke city","total","total","41","1","3","0","5","0","0","0","49","1"
"walsall","1991-92","fourth division","29","0","0","0","2","0","2","0","33","0"
"walsall","1992-93","third division","21","0","0","0","3","0","3","0","27","0"
"walsall","total","total","50","0","0","0","5","0","5","0","60","0"
"telford united","1993-94","football conference","34","0","0","0","0","0","0","0","34","0"
"career total","career total","career total","488","11","33","3","51","2","22","0","594","16"
