"club","season","league","league","league","fa cup","fa cup","league cup","league cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"liverpool","1996-97","premier league","2","1","0","0","1","0","0","0","-","-","3","1"
"liverpool","1997-98","premier league","20","0","0","0","2","0","1","0","-","-","23","0"
"liverpool","1998-99","premier league","34","1","2","0","2","0","6","0","-","-","44","1"
"liverpool","1999-2000","premier league","36","0","2","0","2","0","-","-","40","0","none","none"
"liverpool","2000-01","premier league","34","0","6","0","6","0","12","0","-","-","58","0"
"liverpool","2001-02","premier league","33","0","2","0","1","0","15","0","2","0","53","0"
"liverpool","2002-03","premier league","35","0","3","0","5","0","11","0","0","0","54","0"
"liverpool","2003-04","premier league","22","0","3","0","0","0","4","0","-","-","29","0"
"liverpool","2004-05","premier league","38","0","0","0","3","0","15","0","-","-","56","0"
"liverpool","2005-06","premier league","36","0","6","0","0","0","12","1","3","0","57","1"
"liverpool","2006-07","premier league","35","1","1","0","1","0","13","0","1","0","51","1"
"liverpool","2007-08","premier league","35","0","4","0","3","0","13","0","-","-","55","0"
"liverpool","2008-09","premier league","38","1","3","0","1","0","12","0","-","-","54","1"
"liverpool","2009-10","premier league","37","0","2","0","1","0","13","0","-","-","53","0"
"liverpool","2010-11","premier league","28","0","0","0","0","0","10","0","-","-","38","0"
"liverpool","2011-12","premier league","21","0","5","0","5","0","-","-","31","0","none","none"
"liverpool","2012-13","premier league","24","0","1","0","2","0","11","0","-","-","38","0"
"career total","career total","career total","508","4","40","0","35","0","148","1","6","0","737","5"
