"age group and sex","number","moderate-to-vigorous physical activity","moderate-to-vigorous physical activity","moderate-to-vigorous physical activity","screen time","screen time","screen time","sleep","sleep","sleep"
"age group and sex","number","average minutes","95% confidence interval","95% confidence interval","average hours","95% confidence interval","95% confidence interval","average hours","95% confidence interval","95% confidence interval"
"age group and sex","number","average minutes","from","to","average hours","from","to","average hours","from","to"
"total","3,111","53.8","50.6","57.0","3.1","2.9","3.2","9.0","8.9","9.1"
"sex","","","","","","","","","",""
"boys","1,553","60.1","55.8","64.4","3.3","3.1","3.5","9.0","8.9","9.1"
"girls","1,558","47.1","44.6","49.7","2.8","2.6","3.0","9.0","8.9","9.1"
"age group","","","","","","","","","",""
"5 to 11","1,985","61.3","57.8","64.7","2.3","2.2","2.5","9.6","9.5","9.7"
"boys","980","68.3","63.3","73.2","2.4","2.2","2.5","9.6","9.5","9.7"
"girls","1,005","54.0","51.1","56.8","2.3","2.1","2.5","9.7","9.6","9.8"
"12 to 17","1,126","46.3","42.5","50.1","3.8","3.5","4.0","8.3","8.2","8.5"
"boys","573","52.0","46.9","57.1","4.2","3.8","4.5","8.4","8.2","8.6"
"girls","553","40.3","36.9","43.6","3.4","3.0","3.7","8.2","8.1","8.4"
