"no","pos","nat","name","allsvenskan","allsvenskan","2014-15 svenska cupen","2014-15 svenska cupen","2015-16 svenska cupen","2015-16 svenska cupen","svenska supercupen","svenska supercupen","total","total"
"no","pos","nat","name","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"1","gk","est","andreas vaikla","0","0","0","0","0","0","0","0","0","0"
"4","df","swe","andreas johansson","29","2","4","0","1","0","1","0","35","2"
"5","fw","swe","christoffer nyman","29","10","0","0","1","2","1","1","31","13"
"6","df","swe","linus wahlqvist","29","3","3","0","1","0","1","0","34","3"
"7","mf","swe","alexander fransson","29","5","4","0","1","0","1","1","35","6"
"8","mf","swe","rawez lawan","1","1","0","0","0","1","0","0","1","2"
"9","mf","isl","arnor ingvi traustason","29","7","4","2","0","0","1","0","34","9"
"10","fw","swe","emir kujovic","29","21","3","0","0","0","1","1","33","22"
"11","df","swe","christopher telo","18","0","4","0","0","0","0","0","22","0"
"14","mf","swe","nicklas barkroth","15","0","4","2","1","0","1","0","21","2"
"15","df","swe","marcus falk-olander","2","0","1","0","0","0","0","0","3","0"
"16","fw","swe","joel enarsson","1","0","1","0","0","0","0","0","2","0"
"17","fw","sle","alhaji kamara","3","6","4","3","1","2","0","0","8","11"
"20","mf","fin","daniel sjolund","28","2","4","0","1","0","1","0","34","2"
"21","df","swe","andreas hadenius","6","0","0","0","0","0","0","0","6","0"
"23","df","swe","david boo wiklander","22","0","0","0","1","0","1","0","24","0"
"24","mf","swe","gentrit citaku","1","0","0","1","1","0","0","0","2","1"
"25","df","swe","filip dagerstal","4","1","3","0","0","0","0","0","7","1"
"26","df","swe","adnan kojic","0","0","0","0","0","0","0","0","0","0"
"27","mf","swe","tesfaldet tekie","2","0","0","0","0","0","0","0","2","0"
"30","df","cro","nikola tkalcic","23","2","1","0","1","0","1","0","26","2"
"91","gk","mkd","david mitov nilsson","30","0","2","0","1","0","1","0","34","0"
"players out on loan","players out on loan","players out on loan","players out on loan","players out on loan","players out on loan","players out on loan","players out on loan","players out on loan","players out on loan","players out on loan","players out on loan","none","none"
"19","mf","swe","mirza halvadzic","0","0","0","0","0","0","0","0","0","0"
"29","gk","swe","edvard setterberg","0","0","0","0","0","0","0","0","0","0"
"players that left the club during the season","players that left the club during the season","players that left the club during the season","players that left the club during the season","players that left the club during the season","players that left the club during the season","players that left the club during the season","players that left the club during the season","players that left the club during the season","players that left the club during the season","players that left the club during the season","players that left the club during the season","none","none"
"1","gk","swe","marcus sahlman","0","0","2","0","0","0","0","0","2","0"
"22","df","crc","christopher meneses","0","0","0","0","0","0","0","0","0","0"
