"","census undercoverage rate","census undercoverage rate","census undercoverage rate","linkage rate","linkage rate","linkage rate"
"","both sexes","male","female","both sexes","male","female"
"","percent","percent","percent","percent","percent","percent"
"total","2.7","3.9","1.5","89","88","89"
"age group","","","","","",""
"0 to 4","2.7","2.9","2.5","79","80","77"
"5 to 14","0.9","0.8","0.9","85","85","84"
"15 to 17","-0.8","-0.5","-1.1","82","83","82"
"18 to 19","6.2","7.8","4.5","77","77","76"
"20 to 24","7.6","9.5","5.7","70","70","72"
"25 to 34","8.0","9.9","6.1","71","69","74"
"35 to 44","4.3","6.7","1.9","77","74","81"
"45 to 54","1.5","3.0","0.0","84","82","88"
"55 to 64","-0.3","0.8","-1.4","89","88","91"
"65 and older","-1.4","-1.7","-1.1","90","91","89"
