"selected characteristics","aboriginal people","non-aboriginal people"
"selected characteristics","percent","percent"
"physically or sexually maltreated by an adult before age 15","",""
"physically and sexually maltreated","9","4"
"sexually maltreated only","4","3"
"physically maltreated only","26","21"
"no","56","67"
"five or more alcoholic drinks in one sitting (binge drinking) during the month preceding the survey","",""
"yes, at least once","30","26"
"no","69","73"
"used drugs during the month preceding the survey","",""
"yes, at least once","16","7"
"no","84","92"
"number of evening activities during the month preceding the survey","",""
"none","7","7"
"1 to 10","34","39"
"11 to 20","25","28"
"21 or more","32","24"
"ever been homeless or temporarily lived somewhere because you had nowhere else to live","",""
"yes","20","8"
"no","80","91"
"self-rated mental health","",""
"good, very good, or excellent","89","94"
"fair or poor","10","5"
"disability","",""
"yes","32","24"
"no","68","74"
"perceives social disorder in neighbourhood","",""
"yes","32","22"
"no","63","73"
"sense of belonging to local community","",""
"very strong or somewhat strong","74","75"
"somewhat weak or very weak","23","22"
"likelihood that neighbours call the police if witness what seems like criminal behaviour","",""
"very likely or somewhat likely","88","91"
"somewhat unlikely or not at all likely","9","6"
"age","",""
"15 to 24 years old","24","15"
"25 to 44 years old","32","33"
"45 years and older","44","52"
"marital status","",""
"married or common-law","52","61"
"divorced, separated, or widowed","10","11"
"single, never-married","37","27"
