"size of company","headcount of r&d employeesa","fte r&d employeesa","fte r&d employeesa","fte r&d employeesa","fte r&d employeesa","fte r&d employee share of headcount"
"size of company","headcount of r&d employeesa","total fte r&d employees","full-time r&d employees","full-time employees working on r&d part-time","part-time employees working on r&d","fte r&d employee share of headcount"
"all companies","1495","1318","1171","124","22","88"
"5-499","442","357","295","55","7","81"
"5-24","98","80","69","8","2","82"
"25-49","72","60","50","10","1","83"
"50-99","81","65","52","12","1","80"
"100-249","112","87","70","15","2","78"
"250-499","79","65","54","10","1","82"
"500 or more","1053","=sum(c13:c17)","=sum(d13:d17)","=sum(f13:f17)","=sum(h13:h17)","91"
"500-999","68","58","49","8","1","85"
"1,000-4,999","240","217","194","19","4","90"
"5,000-9,999","141","134","123","9","1","95"
"10,000-24,999","201","180","164","12","4","90"
"25,000 or more","403","372","346","21","4","92"
