"field of study","employed college graduates","employed college graduates","employed college graduates","recent graduates, earned first bachelor's degree 2008-17","recent graduates, earned first bachelor's degree 2008-17","recent graduates, earned first bachelor's degree 2008-17","past graduates, earned first bachelor's degree's 2007 or earlier","past graduates, earned first bachelor's degree's 2007 or earlier","past graduates, earned first bachelor's degree's 2007 or earlier"
"field of study","total","attended community college","earned an associate's degree","total","attended community college","earned an associate's degree","total","attended community college","earned an associate's degree"
"all fields","44687000","49.2","21","14848000","52.3","24.8","29840000","47.6","19.1"
"s&e fields","16862000","45","15.1","5651000","47","16.9","11211000","43.9","14.2"
"computer and mathematical sciences","2336000","46.7","20.7","810000","44.2","22.7","1526000","48.1","19.6"
"biological, agricultural and environmental life sciences","3235000","46.4","12.3","1194000","50.6","14.1","2041000","44","11.2"
"physical and related sciences","993000","39.6","10.1","303000","41.1","11.3","689000","38.9","9.5"
"social and related sciences","7196000","45.4","16.2","2407000","49.1","19.2","4789000","43.6","14.6"
"engineering","3103000","42.7","13.1","937000","41.1","11.5","2166000","43.4","13.8"
"s&e-related fields","4656000","56.3","29","1916000","61.7","36","2740000","52.5","24.2"
"non-s&e fields","23170000","50.8","23.6","7280000","53.9","27.9","15889000","49.4","21.7"
