"characteristic","total","u.s. degree","u.s. degree","non-u.s. degree","non-u.s. degree"
"characteristic","total","number","percent","number","percent"
"total","228700","185400","81.1","43300","18.9"
"citizenship","","","","",""
"u.s. citizens and permanent residents","149600","144500","96.6","5100","3.4"
"temporary visa holders","79100","40900","51.7","38100","48.2"
"china","22900","14200","62","8700","38"
"india","9100","4900","53.8","4200","46.2"
"canada","5600","2400","42.9","3200","57.1"
"germany","4900","1400","28.6","3600","73.5"
"south korea","4900","3900","79.6","1000","20.4"
"italy","2900","1000","34.5","1900","65.5"
"france","1800","s","s","1500","83.3"
"japan","1700","800","47.1","900","52.9"
"brazil","1600","900","56.3","800","50"
"england","1500","300","20","1200","80"
"all other countries","22000","10900","49.5","11000","50"
"sex and citizenship","","","","",""
"female","106600","93000","87.2","13600","12.8"
"u.s. citizens and permanent residents","81400","78700","96.7","2700","3.3"
"temporary visa holders","25100","14300","57","10800","43"
"male","122100","92400","75.7","29700","24.3"
"u.s. citizens and permanent residents","68200","65800","96.5","2400","3.5"
"temporary visa holders","53900","26600","49.4","27300","50.6"
"years since degree","","","","",""
"less than 2","46200","36900","79.9","9300","20.1"
"2-5","92800","75200","81","17600","19"
"6-10","89700","73300","81.7","16400","18.3"
"doctoral degree type","","","","",""
"professional degree","28100","22800","81.1","5300","18.9"
"research degree","200600","162700","81.1","37900","18.9"
"field of doctoral study","","","","",""
"science","159100","121100","76.1","38000","23.9"
"biological sciences","51000","31700","62.2","19300","37.8"
"health sciences","36200","29700","82","6500","18"
"physical sciences","20900","14000","67","6900","33"
"psychology","12500","12100","96.8","s","s"
"social sciences","17500","16700","95.4","700","4"
"other sciences","21100","17000","80.6","4100","19.4"
"engineering","23500","19900","84.7","3600","15.3"
"non-science and engineering","46100","44400","96.3","1600","3.5"
"position typea","","","","",""
"faculty","123500","114800","93","8700","7"
"full time","96400","89300","92.6","7100","7.4"
"other","27100","25500","94.1","1600","5.9"
"postdoc","71600","43800","61.2","27800","38.8"
"all other","33600","26800","79.8","6800","20.2"
