"","men","men","men","men","women","women","women","women"
"","less than high school","high school diploma/some postsecondary","trade certificate or college diploma","university degree","less than high school","high school diploma/some postsecondary","trade certificate or college diploma","university degree"
"","years","years","years","years","years","years","years","years"
"average age","29.4","29.3","29.5","29.7","29.4","29.5","29.5","29.6"
"spouse's average age","28.9","29.2","29.4","30.1","34.1","33.7","32.9","32.7"
"","percent","percent","percent","percent","percent","percent","percent","percent"
"marital status","","","","","","","",""
"married/common-law","47.3","43.6","55.1","54.5","54.8","58.6","63.0","64.5"
"lone parent with child(ren)","1.5","0.8","1.1","0.2","18.7","9.6","7.6","1.5"
"single with no children","51.1","55.5","43.8","45.4","26.6","31.8","29.5","34.0"
"age of youngest child","","","","","","","",""
"under 5 years","23.4","19.9","24.8","20.9","41.3","31.6","33.7","28.5"
"5 to 9 years","6.6","3.8","4.0","1.2","15.1","13.3","10.6","3.1"
"10 years or over","1.6","0.8","0.8","0.2","5.1","2.3","1.9","0.6"
"no children","68.4","75.5","70.4","77.7","38.5","52.8","53.8","67.8"
"student","3.2","7.8","6.0","11.3","8.2","11.4","7.5","11.1"
