"","direct productivity effect","direct productivity effect","direct productivity effect","total structural adjustment","total structural adjustment","total structural adjustment"
"","1990s","2000s","difference","1990s","2000s","difference"
"","percentage points","percentage points","percentage points","percentage points","percentage points","percentage points"
"business sector","1.80","0.94","-0.86","-0.18","0.23","0.41"
"industry","","","","","",""
"agriculture, forestry, fishing and hunting","0.10","0.09","-0.01","0.06","0.05","-0.01"
"mining and oil and gas extraction","0.15","-0.31","-0.46","-0.05","0.31","0.37"
"utilities","0.06","0.00","-0.06","-0.05","0.00","0.04"
"construction","-0.03","0.00","0.03","0.01","-0.06","-0.07"
"manufacturing","0.76","0.29","-0.47","-0.04","-0.05","-0.01"
"wholesale trade","0.15","0.22","0.07","0.00","0.00","0.00"
"retail trade","0.13","0.15","0.02","0.02","0.00","-0.03"
"transport and warehousing","0.09","0.06","-0.03","0.00","0.00","0.00"
"information and cultural industries","0.05","0.09","0.04","0.04","-0.01","-0.05"
"finance, insurance, real estate and renting and leasing","0.41","0.18","-0.23","-0.01","0.04","0.06"
"professional, scientific and technical services","0.02","0.08","0.07","-0.02","-0.01","0.01"
"administrative and support, waste management and remediation services","-0.01","0.01","0.02","-0.05","-0.04","0.01"
"arts, entertainment and recreation","-0.02","0.00","0.02","-0.02","0.00","0.02"
"accommodation and food services","-0.03","0.02","0.05","-0.03","0.01","0.04"
"other private services","-0.04","0.06","0.10","-0.04","-0.01","0.03"
