"","model 1","model 1","model 2","model 2","model 3","model 3"
"","coefficient","bootstrap standard error","coefficient","bootstrap standard error","coefficient","bootstrap standard error"
"income quartile (reference group: first (bottom))","","","","","",""
"second","0.194","0.07","0.066","0.06","0.066","0.06"
"third","0.284","0.06","0.060","0.07","0.061","0.07"
"fourth","0.451","0.06","0.120","0.07","0.120","0.07"
"literacy score","..","..","0.049","0.05","..",".."
"numeracy score","..","..","..","..","0.035","0.04"
"education level","","","","","",""
"less than high school","..","..","0.072","0.13","0.073","0.13"
"non-university postsecondary","..","..","0.100","0.06","0.105","0.06"
"bachelor's degree","..","..","0.127","0.07","0.133","0.07"
"above a bachelor's degree","..","..","0.140","0.08","0.148","0.07"
"female","..","..","0.116","0.04","0.119","0.04"
"age","..","..","0.007","0.00","0.006","0.00"
"marital status","","","","","",""
"common-law","..","..","-0.067","0.06","-0.065","0.06"
"separated, divorced or widowed","..","..","0.046","0.06","0.045","0.06"
"single, never married","..","..","-0.133","0.07","-0.131","0.07"
"immigrant","..","..","0.033","0.06","0.029","0.06"
"number of children aged 15 to 17 in the household","..","..","-0.078","0.04","-0.078","0.04"
"number of children aged 12 to 14 in the household","..","..","0.052","0.04","0.053","0.04"
"number of children younger than 12 in the household","..","..","0.048","0.02","0.048","0.02"
"province of residence","","","","","",""
"newfoundland and labrador","..","..","-0.167","0.09","-0.164","0.09"
"prince edward island","..","..","-0.062","0.16","-0.063","0.16"
"nova scotia","..","..","0.002","0.08","0.008","0.08"
"new brunswick","..","..","-0.147","0.07","-0.144","0.07"
"quebec","..","..","-0.118","0.05","-0.118","0.05"
"manitoba","..","..","-0.223","0.07","-0.221","0.07"
"saskatchewan","..","..","-0.137","0.06","-0.139","0.06"
"alberta","..","..","-0.049","0.06","-0.047","0.06"
"british columbia","..","..","-0.051","0.07","-0.048","0.07"
"tangible assets","","","","","",""
"$100,000 to less than $300,000","..","..","0.022","0.06","0.022","0.06"
"$300,000 to less than $500,000","..","..","0.037","0.07","0.038","0.07"
"$500,000 or more","..","..","0.085","0.07","0.085","0.07"
"missing value","..","..","-0.056","0.12","-0.057","0.12"
"registered retirement savings plan","","","","","",""
"more than $0 to less than $25,000","..","..","0.227","0.06","0.229","0.06"
"$25,000 or more","..","..","0.317","0.06","0.321","0.06"
"missing value","..","..","0.239","0.10","0.238","0.09"
"financial assets","","","","","",""
"more than $0 to less than $10,000","..","..","0.041","0.06","0.043","0.06"
"$10,000 to less than $30,000","..","..","0.166","0.06","0.167","0.06"
"$30,000 or more","..","..","0.050","0.06","0.050","0.06"
"missing value","..","..","0.113","0.09","0.115","0.09"
"business assets","","","","","",""
"business assets of any positive value","..","..","-0.028","0.05","-0.026","0.05"
"missing value","..","..","0.105","0.14","0.107","0.14"
"debts and liabilities","","","","","",""
"more than $0 to less than $50,000","..","..","0.006","0.07","0.007","0.07"
"$50,000 to less than $150,000","..","..","0.021","0.08","0.023","0.08"
"$150,000 to less than $250,000","..","..","0.079","0.08","0.079","0.08"
"$250,000 or more","..","..","-0.004","0.08","-0.004","0.08"
"missing value","..","..","0.027","0.12","0.025","0.12"
"double-counting flag","..","..","0.043","0.13","0.041","0.13"
"constant","0.361","0.05","-0.323","0.19","-0.286","0.18"
