"character","voice actor","voice actor","voice actor","voice actor"
"character","japanese","english","chinese","korean"
"megumi yokota","minami takayama","soness stevens","li liang","jin dal-rae"
"shigeru yokota","koichi yamadera","walter roberts","qi zhongling","park kyong-wan"
"sakie yokota","rika fukami","sally koshinaka","piao zhenlin","lee mi-sung"
"takuya yokota","megumi tano","stacy powell","li xiangning","kim eui-jung"
"takuya yokota","bin shimada","david shufle","wang wanzhou","cheon kui-uk"
"colleague","shin-ichiro miki","david shufle","chang yuxing","chang sung-hee"
"nurse","yumiko akaike","stacy powell","none","none"
"clerk","masahito kawanago","david shufle","none","none"
"administration official","aruno tahara","david shufle","none","none"
"tsubo","junko shimakata","stacy powell","none","none"
"narrator","michio hazama","walter roberts","none","none"
