"","innovation","innovation","innovation","innovation"
"","goods or services","production process or method","organizational method","new way of selling"
"all immigrants","","","",""
"immigrant","","","",""
"coefficient","0.0230","0.0350","0.0014","0.0250"
"standard error","-0.0086","-0.0075","-0.0074","-0.0077"
"controls","yes","yes","yes","yes"
"baseline probability","0.2670","0.1742","0.1790","0.1808"
"number of observations","19,896","19,897","19,896","19,896"
"immigrants in canada for less than 20 years","","","",""
"immigrant","","","",""
"coefficient","0.0360","0.0310","-0.0040","0.0540"
"standard error","-0.0150","-0.0130","-0.0130","-0.0140"
"controls","yes","yes","yes","yes"
"baseline probability","0.2840","0.1786","0.1883","0.1854"
"number of observations","10,232","10,230","10,232","10,232"
"immigrants in canada for 20 years or more","","","",""
"immigrant","","","",""
"coefficient","0.0190","0.0370","0.0067","0.0150"
"standard error","-0.0097","-0.0086","-0.0083","-0.0087"
"controls","yes","yes","yes","yes"
"baseline probability","0.2578","0.1722","0.1738","0.1780"
"number of observations","16,320","16,316","16,320","16,320"
