"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"hammarby if","2015","allsvenskan","2","0","0","0","-","-","2","0"
"hammarby if","2016","allsvenskan","5","0","0","0","-","-","5","0"
"hammarby if","total","total","7","0","0","0","0","0","7","0"
"enskede ik","2016","division 1","14","6","0","0","-","-","14","6"
"enskede ik","total","total","14","6","0","0","0","0","14","6"
"atvidabergs ff","2017","superettan","22","5","0","0","-","-","22","5"
"atvidabergs ff","total","total","22","5","0","0","0","0","22","5"
"start","2018","eliteserien","0","0","0","0","-","-","0","0"
"start","total","total","0","0","0","0","0","0","0","0"
"jerv","2018","obos-ligaen","11","0","1","0","-","-","12","0"
"jerv","total","total","11","0","1","0","0","0","12","0"
"hamkam","2018","obos-ligaen","5","0","0","0","-","-","5","0"
"hamkam","total","total","5","0","0","0","0","0","5","0"
"career total","career total","career total","59","11","1","0","0","0","60","11"
