"club","season","league","league","league","fa cup","fa cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals"
"stoke","1912-13","southern league division one","16","0","0","0","16","0"
"stoke","1913-14","southern league division two","25","0","3","0","28","0"
"stoke","1914-15","southern league division two","24","0","4","0","28","0"
"stoke","1919-20","second division","30","0","1","0","31","0"
"stoke","1920-21","second division","42","0","1","0","43","0"
"stoke","1921-22","second division","41","0","5","0","46","0"
"stoke","1922-23","first division","36","0","2","0","38","0"
"stoke","1923-24","second division","0","0","0","0","0","0"
"stoke","1924-25","second division","18","0","1","0","19","0"
"stoke","1925-26","second division","25","0","2","0","27","0"
"stoke","total","total","257","0","19","0","276","0"
"doncaster rovers","1926-27","third division north","40","0","2","0","42","0"
"doncaster rovers","1927-28","third division north","27","0","1","0","28","0"
"doncaster rovers","1928-29","third division north","2","0","0","0","2","0"
"doncaster rovers","1929-30","third division north","5","0","0","0","5","0"
"doncaster rovers","total","total","74","0","3","0","77","0"
"career total","career total","career total","331","0","22","0","353","0"
