"club","league","season","league","league","cup","cup","continental","continental","total","total"
"club","league","season","apps","goals","apps","goals","apps","goals","apps","goals"
"monaco","ligue 1","1994-95","8","3","0","0","0","0","8","3"
"monaco","ligue 1","1995-96","18","3","3","0","1","0","22","3"
"monaco","ligue 1","1996-97","36","9","3","0","9","1","48","10"
"monaco","ligue 1","1997-98","30","4","5","0","9","7","44","11"
"monaco","ligue 1","1998-99","13","1","1","0","5","0","19","1"
"monaco","total","total","105","20","12","0","24","8","141","28"
"juventus","serie a","1998-99","16","3","3","0","0","0","19","3"
"juventus","total","total","16","3","3","0","0","0","19","3"
"arsenal","premier league","1999-2000","31","17","5","1","11","8","47","26"
"arsenal","premier league","2000-01","35","17","4","1","14","4","53","22"
"arsenal","premier league","2001-02","33","24","5","1","11","7","49","32"
"arsenal","premier league","2002-03","37","24","6","1","12","7","55","32"
"arsenal","premier league","2003-04","37","30","4","4","10","5","51","39"
"arsenal","premier league","2004-05","32","25","2","0","8","5","42","30"
"arsenal","premier league","2005-06","32","27","2","1","11","5","45","33"
"arsenal","premier league","2006-07","17","10","3","1","7","1","27","12"
"arsenal","total","total","254","174","31","10","84","42","369","226"
"barcelona","la liga","2007-08","30","12","7","4","10","3","47","19"
"barcelona","la liga","2008-09","29","19","1","1","12","6","42","26"
"barcelona","la liga","2009-10","21","4","3","0","8","0","32","4"
"barcelona","total","total","80","35","11","5","30","9","121","49"
"new york red bulls","major league soccer","2010","11","2","1","0","0","0","12","2"
"new york red bulls","major league soccer","2011","26","14","3","1","0","0","29","15"
"new york red bulls","major league soccer","2012","25","15","2","0","0","0","27","15"
"new york red bulls","major league soccer","2013","30","10","2","0","0","0","32","10"
"new york red bulls","major league soccer","2014","30","10","5","0","-","-","35","10"
"new york red bulls","total","total","122","51","13","1","0","0","135","52"
"arsenal","premier league","2011-12","4","11","2","1","1","0","7","21"
"arsenal","total","total","258","1751","33","11","85","42","376","2281"
"career total","career total","career total","581","2841","72","17","139","59","792","3601"
