"","number of types of media used","number of types of media used","number of types of media used"
"","one","two or three","four or five"
"","percentage","percentage","percentage"
"total","","",""
"men","24","55","21"
"women","24","55","21"
"age group","","",""
"15 to 34 years","30","52","18"
"35 to 54 years","22","56","22"
"55 years and older","20","57","23"
"highest level of education","","",""
"less than a high school diploma","31","58","11"
"high school diploma","26","57","17"
"postsecondatry diploma or certificate","21","57","22"
"university degree","18","53","29"
