"","1990s","2000s","difference"
"","percent","percent","percentage points"
"business sector","1.61","1.17","-0.45"
"industry","","",""
"agriculture, forestry, fishing and hunting","3.18","3.84","0.66"
"mining and oil and gas extraction","3.16","-2.92","-6.08"
"utilities","1.44","0.20","-1.24"
"construction","-0.31","0.15","0.46"
"manufacturing","3.42","1.59","-1.83"
"wholesale trade","2.11","3.17","1.07"
"retail trade","1.96","2.22","0.25"
"transport and warehousing","1.68","1.11","-0.57"
"information and cultural industries","1.21","2.15","0.94"
"finance, insurance, real estate and renting and leasing","2.67","1.21","-1.46"
"professional, scientific and technical services","0.21","1.23","1.03"
"administrative and support, waste management and remediation services","-0.21","0.31","0.52"
"arts, entertainment and recreation","-1.79","0.16","1.95"
"accommodation and food services","-0.84","0.70","1.54"
"other private services","-0.74","1.03","1.77"
