"health behaviour","men","men","men","women","women","women"
"health behaviour","hazard ratio","95% confidence interval","95% confidence interval","hazard ratio","95% confidence interval","95% confidence interval"
"health behaviour","hazard ratio","from","to","hazard ratio","from","to"
"smoking","","","","","",""
"non-smoker","1.00","..","..","1.00","..",".."
"light smoker","1.92","1.51","2.33","1.81","1.52","2.11"
"heavy smoker","2.36","1.84","2.89","2.91","1.92","3.91"
"former smoker","1.23","1.05","1.40","1.31","1.16","1.46"
"body mass index (bmi), with correction","","","","","",""
"underweight","1.77","1.06","2.47","1.50","1.16","1.85"
"normal weight","1.00","..","..","1.00","..",".."
"overweight","0.87","0.79","0.95","0.86","0.78","0.94"
"obese i","0.96","0.85","1.07","0.91","0.80","1.02"
"obese ii","1.51","1.25","1.76","1.20","1.00","1.40"
"alcohol consumption","","","","","",""
"light or non-drinker","1.20","1.09","1.31","1.15","1.01","1.29"
"moderate drinker","1.00","..","..","1.00","..",".."
"heavy drinker","1.35","1.06","1.63","2.29","0.41","4.16"
"former drinker","1.65","1.46","1.83","1.56","1.36","1.75"
"minutes of physical activity per day","","","","","",""
"none","1.89","1.61","2.16","2.04","1.65","2.43"
"less than 30","1.23","1.08","1.38","1.22","1.03","1.41"
"30 to 60","0.99","0.86","1.12","1.10","0.92","1.28"
"more than 60","1.00","..","..","1.00","..",".."
"fruit and vegetable servings per day","","","","","",""
"none","1.93","0.49","3.36","1.71","0.57","2.85"
"less than 2","1.52","1.30","1.74","1.82","1.51","2.13"
"2 to 5","1.18","1.03","1.32","1.18","1.05","1.32"
"more than 5","1.00","..","..","1.00","..",".."
