"","total","degree level","degree level","degree level","field of study","field of study","field of study"
"","total","bachelor's degree","master's degree","doctorate","science and technology","engineering","computer science and mathematics"
"","percent","percent","percent","percent","percent","percent","percent"
"total","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"canada","21.3","16.0","25.8","38.5","20.8","19.1","26.3"
"india","11.2","12.3","11.1","3.8","14.3","8.5","13.3"
"china","11.2","13.6","8.0","7.7","7.9","13.5","10.0"
"philippines","7.7","12.4","1.8","0.1","5.1","9.5","6.8"
"united states","4.3","2.9","5.3","9.4","4.7","3.4","5.5"
"united kingdom","3.5","2.8","3.7","7.5","4.2","2.8","4.0"
"iran","3.4","4.1","2.6","1.2","3.5","4.1","1.7"
"pakistan","3.0","3.3","3.2","0.3","4.2","2.1","3.7"
"romania","2.9","2.8","3.5","0.8","1.4","4.1","1.8"
"russia","2.7","1.7","4.2","4.0","2.3","3.1","2.4"
"france","2.6","0.8","4.5","7.0","3.3","2.0","3.1"
"latin america","4.4","5.4","3.7","1.0","3.6","5.2","3.7"
"other european countries","8.2","5.5","11.9","10.6","8.1","9.3","5.8"
"africa","4.8","6.0","3.7","1.7","6.8","4.3","3.8"
"other asian countries","8.2","9.8","6.4","5.1","9.0","8.4","7.1"
"others","0.7","0.6","0.7","1.4","0.9","0.5","1.0"
"","number","number","number","number","number","number","number"
"sample size","135,775","77,386","47,074","11,315","35,508","69,002","32,265"
