"","percent"
"construction","72.5"
"mining, quarrying and oil and gas extraction","70.3"
"administrative and support, waste management and remediation services","39.9"
"health care and social assistance","39.1"
"arts, entertainment and recreation","38.3"
"professional, scientific and technical services","33.8"
"management of companies and enterprises","29.1"
"accommodation and food services","23.7"
"retail trade","22.0"
"other services","22.0"
"finance and insurance","20.5"
"educational services","20.1"
"real estate and rental and leasing","19.8"
"wholesale trade","18.9"
"utilities","18.3"
"all sectors","17.8"
"transportation and warehousing","11.6"
"public administration","10.9"
"information and cultural industries","-0.3"
"manufacturing","-23.8"
"forestry, logging and support activities for forestry","-48.2"
