"type of offence","1999","1999","1999","2004","2004","2004","2009","2009","2009","2014","2014","2014"
"type of offence","not reported","reported","don't know/refusal","not reported","reported","don't know/refusal","not reported","reported","don't know/refusal","not reported","reported","don't know/refusal"
"type of offence","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent"
"total victimization","59","37","3","64","34","2","68","31","1","67","31","2"
"violent victimization incidents","","","","","","","","","","","",""
"sexual assault","78","f","14","88","8","4","88","f","f","83","5","12"
"robbery","51","46","f","53","46","f","56","43","f","54","45","f"
"physical assault","61","37","f","60","39","f","65","34","f","60","38","f"
"total","64","31","6","65","33","2","69","29","f","67","28","5"
"household victimization incidents","","","","","","","","","","","",""
"break and enter","35","62","f","44","54","f","46","54","f","49","50","f"
"motor vehicle/parts theft","37","60","f","50","49","f","48","50","f","54","44","f"
"theft of household property","67","32","f","69","29","2","76","23","f","74","25","f"
"vandalism","64","34","f","67","31","3","64","35","f","62","37","f"
"total","53","44","2","61","37","2","62","36","1","63","36","1"
"theft of personal property","63","35","f","67","31","2","71","28","f","70","29","f"
