"","people who did a favour for a neighbour in the past month","people who did a favour for a neighbour in the past month","people who did a favour for a neighbour in the past month","people who received a favour from a neighbour in the past month","people who received a favour from a neighbour in the past month","people who received a favour from a neighbour in the past month"
"","2003","2008","2013","2003","2008","2013"
"","percentage","percentage","percentage","percentage","percentage","percentage"
"total","61","65","69","57","60","65"
"men","64","68","72","58","60","65"
"women","57","62","66","56","60","65"
"age group","","","","","",""
"15 to 24 years","53","54","60","51","49","58"
"25 to 34 years","58","61","63","54","57","60"
"35 to 44 years","67","71","73","62","64","69"
"45 to 54 years","65","70","73","59","63","67"
"55 to 64 years","62","70","73","57","64","67"
"65 to 74 years","63","66","74","56","62","69"
"75 years and older","51","56","63","52","60","65"
"province","","","","","",""
"newfoundland and labrador","74","74","78","71","74","77"
"prince edward island","68","72","74","67","68","67"
"nova scotia","70","69","73","66","65","67"
"new brunswick","66","68","71","62","65","66"
"quebec","54","60","64","49","55","60"
"ontario","62","67","71","58","63","67"
"manitoba","62","66","70","58","59","64"
"saskatchewan","66","69","75","63","65","73"
"alberta","63","67","70","58","59","66"
"british columbia","59","62","6","57","57","62"
