"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"walsall","2006-07","league two","3","0","0","0","0","0","0","0","3","0"
"walsall","2007-08","league one","4","0","0","0","0","0","0","0","4","0"
"walsall","2008-09","league one","26","0","0","0","1","0","0","0","27","0"
"walsall","2009-10","league one","33","4","2","0","1","0","1","0","37","4"
"walsall","2010-11","league one","25","2","2","0","1","0","1","0","29","2"
"walsall","2011-12","league one","33","1","3","0","0","0","2","0","38","1"
"walsall","total","total","124","7","7","0","3","0","4","0","138","7"
"halesowen town","2006-07","sl premier division","5","0","-","-","5","0","none","none","none","none"
"notts county","2012-13","league one","5","0","0","0","1","0","0","0","6","0"
"notts county","2013-14","league one","24","0","0","0","2","0","2","0","28","0"
"notts county","total","total","29","0","0","0","3","0","2","0","34","0"
"wrexham","2014-15","conference premier","46","0","5","1","-","-","10","1","61","2"
"wrexham","2015-16","national league","44","1","1","0","-","-","2","1","47","2"
"wrexham","total","total","90","1","6","1","-","-","12","2","108","4"
"gateshead","2016-17","national league","44","4","2","0","-","-","2","1","48","5"
"wrexham","2017-18","national league","45","3","1","0","-","-","0","0","46","3"
"wrexham","2018-19","national league","8","1","0","0","-","-","0","0","8","1"
"wrexham","total","total","53","4","1","0","-","-","0","0","54","4"
"career totals","career totals","career totals","345","16","16","1","6","0","20","3","386","20"
