"type of victimization and gender of victim","since age 15","since age 15","since age 15","since age 15","past 12 months","past 12 months","past 12 months","past 12 months"
"type of victimization and gender of victim","number","percent","95% confidence interval","95% confidence interval","number","percent","95% confidence interval","95% confidence interval"
"type of victimization and gender of victim","number","percent","from","to","number","percent","from","to"
"physical assault","","","","","","","",""
"women","4,058","26.1","25.2","27.1","313","2.0","1.7","2.4"
"men","5,042","33.3","32.2","34.4","545","3.6","3.2","4.1"
"total","9,144","29.7","29.0","30.4","868","2.8","2.5","3.1"
"sexual assault","","","","","","","",""
"women","4,699","30.2","29.3","31.2","454","2.9","2.5","3.4"
"men","1,244","8.2","7.7","8.8","150","1.0","0.8","1.3"
"total","5,963","19.4","18.8","19.9","611","2.0","1.7","2.3"
"total violent victimization","","","","","","","",""
"women","6,013","38.7","37.7","39.7","676","4.4","3.8","4.9"
"men","5,355","35.3","34.3","36.4","654","4.3","3.9","4.8"
"total","11,419","37.1","36.4","37.8","1,348","4.4","4.0","4.8"
