"party","votes","%","seats","seats","seats","seats","seats"
"party","votes","%","pr","constituency","abroad","total","+/-"
"alianza pais","45,955,995","52.30","8","86","6","100","+41"
"creating opportunities","10,032,804","11.42","2","9","0","11","new"
"social christian party","7,901,315","8.99","1","5","0","6","-5"
"january 21 patriotic society party","4,955,320","5.64","1","4","0","5","-14"
"plurinational unity of the lefts","4,151,000","4.72","1","4","0","5","-4"
"ecuadorian roldosist party","3,960,188","4.51","1","0","0","1","-2"
"suma","2,829,034","3.22","1","0","0","1","new"
"institutional renewal party of national action","2,640,181","3.00","0","0","0","0","-7"
"partido avanza","2,568,156","2.92","0","5","0","5","new"
"ruptura 25","2,179,383","2.48","0","0","0","0","new"
"socialist party - broad front of ecuador","698,829","0.80","0","0","0","0","-1"
"independents and regionalists","-","-","-","3","0","3","-"
"invalid/blank votes","2,083,795","-","-","-","-","-","-"
"total","9,443,716","100","15","116","6","137","+13"
"registered voters/turnout","11,675,441","80.89","-","-","-","-","-"
"source: cne, el universo","source: cne, el universo","source: cne, el universo","source: cne, el universo","source: cne, el universo","source: cne, el universo","source: cne, el universo","source: cne, el universo"
