"","men-owned private enterprises","men-owned private enterprises","women-owned private enterprises","women-owned private enterprises","equally-owned private enterprises","equally-owned private enterprises"
"","number of enterprises","total employment","number of enterprises","total employment","number of enterprises","total employment"
"","number","number","number","number","number","number"
"2005","906,400","3,960,700","232,800","754,400","197,300","657,300"
"2006","945,600","4,035,100","244,200","782,200","207,300","680,700"
"2007","987,100","4,120,700","257,800","809,500","218,300","699,400"
"2008","1,018,700","4,171,100","270,600","818,900","227,900","717,000"
"2009","1,034,500","4,082,500","280,900","819,300","233,000","712,700"
"2010","1,055,200","4,156,900","290,000","845,300","238,800","721,600"
"2011","1,066,400","4,183,200","296,800","863,800","247,400","722,800"
"2012","1,055,800","4,177,400","295,800","866,500","249,700","726,600"
"2013","1,104,700","4,256,500","308,700","897,900","260,500","738,800"
"average","1,019,400","4,127,100","275,300","828,700","231,100","708,600"
