"season","club","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"season","club","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"oxford united","2004-05","league two","28","6","0","0","0","0","1","0","29","6"
"oxford united","2005-06","league two","20","2","3","0","1","0","2","0","26","2"
"oxford united","total","total","48","8","3","0","1","0","3","0","55","8"
"hellas verona","2006-07","serie b","1","0","-","-","-","-","0","0","1","0"
"wolverhampton wanderers","2006-07","championship","23","0","3","2","1","0","0","0","27","2"
"oldham athletic","2007-08","league one","32","10","5","1","2","1","2","1","41","13"
"oldham athletic","2008-09","league one","12","0","0","0","1","0","1","0","14","0"
"oldham athletic","total","total","44","10","5","1","3","1","3","1","55","13"
"stockport county","2008-09","league one","9","5","4","1","0","0","0","0","13","6"
"brighton & hove albion","2008-09","league one","16","1","0","0","0","0","0","0","16","1"
"brighton & hove albion","2009-10","league one","5","0","2","0","0","0","0","0","7","0"
"brighton & hove albion","total","total","21","1","2","0","0","0","0","0","23","1"
"yeovil town","2009-10","league one","4","0","0","0","0","0","0","0","4","0"
"port vale","2009-10","league two","24","7","0","0","0","0","0","0","24","7"
"chesterfield","2010-11","league two","41","23","2","1","0","0","2","1","45","25"
"barnsley","2011-12","championship","40","11","1","0","1","0","0","0","42","11"
"barnsley","2012-13","championship","20","8","0","0","2","1","0","0","22","9"
"barnsley","total","total","60","19","1","0","3","1","0","0","64","20"
"bolton wanderers","2012-13","championship","18","4","0","0","0","0","0","0","18","4"
"bolton wanderers","2013-14","championship","8","0","1","0","1","0","0","0","10","0"
"bolton wanderers","2014-15","championship","27","6","1","0","2","1","0","0","30","7"
"bolton wanderers","total","total","53","10","2","0","3","1","0","0","58","11"
"preston north end","2013-14","league one","15","5","0","0","0","0","0","0","15","5"
"wigan athletic","2015-16","league one","26","2","1","0","1","0","2","0","30","2"
"wigan athletic","2016-17","championship","14","1","0","0","0","0","0","0","14","1"
"wigan athletic","total","total","40","3","1","0","1","0","2","0","44","3"
"scunthorpe united","2016-17","league one","19","0","0","0","0","0","2","0","21","0"
"oldham athletic","2017-18","league one","40","11","1","0","1","1","2","2","44","14"
"mansfield town","2018-19","league two","0","0","0","0","0","0","0","0","0","0"
"career total","career total","career total","442","102","24","5","13","4","14","4","493","116"
