"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"olimpo","2008-09","primera b nacional","2","0","0","0","-","-","0","0","2","0"
"olimpo","2009-10","primera b nacional","0","0","0","0","-","-","0","0","0","0"
"olimpo","2010-11","primera division","0","0","0","0","-","-","0","0","0","0"
"olimpo","2011-12","primera division","0","0","0","0","-","-","0","0","0","0"
"olimpo","2012-13","primera b nacional","0","0","0","0","-","-","0","0","0","0"
"olimpo","2013-14","primera division","0","0","0","0","-","-","0","0","0","0"
"olimpo","2014","primera division","0","0","0","0","-","-","0","0","0","0"
"olimpo","2015","primera division","5","0","0","0","-","-","0","0","5","0"
"olimpo","2016","primera division","0","0","0","0","-","-","0","0","0","0"
"olimpo","total","total","7","0","0","0","-","-","0","0","7","0"
"juventud antoniana","2013-14","torneo argentino a","18","0","0","0","-","-","0","0","18","0"
"gimnasia y esgrima","2016-17","torneo federal a","27","0","0","0","-","-","6","0","33","0"
"gimnasia y esgrima","2017-18","torneo federal a","20","0","3","0","-","-","1","0","24","0"
"gimnasia y esgrima","total","total","47","0","3","0","-","-","7","0","57","0"
"olimpo","2018-19","primera b nacional","3","0","0","0","-","-","0","0","3","0"
"career total","career total","career total","75","0","3","0","-","-","7","0","85","0"
