"state","business r&d performed","r&d/gdp","largest r&d industry in location","largest industry's share of location r&d"
"u.s. totala","238768","1.6","pharmaceuticals and medicines","17"
"california","64104","3.4","semiconductor and other electronic components","17"
"washington","13659","3.8","software publishers","56"
"texas","12920","1","semiconductor and other electronic components","21"
"massachusetts","12712","3.3","pharmaceuticals and medicines","30"
"michigan","12156","3.2","automobiles, bodies, trailers, and parts","73"
"new jersey","11977","2.4","pharmaceuticals and medicines","50"
"illinois","10764","1.6","pharmaceuticals and medicines","31"
"new york","9141","0.8","software publishers","21"
"pennsylvania","9018","1.6","pharmaceuticals and medicines","43"
"connecticut","6272","2.8","pharmaceuticals and medicines","65"
