"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"troyes","2001-02","ligue 1","8","0","2","0","none","none","none","none","-","-","10","0"
"troyes","2002-03","ligue 1","24","0","1","0","1","0","none","none","-","-","26","0"
"troyes","2003-04","ligue 2","28","1","1","0","1","0","none","none","-","-","30","1"
"troyes","2004-05","ligue 2","4","0","none","none","none","none","none","none","-","-","4","0"
"troyes","total","total","64","1","4","0","2","0","0","0","0","0","70","1"
"lorient","2004-05","ligue 2","24","1","none","none","none","none","none","none","-","-","24","1"
"lorient","2005-06","ligue 2","37","7","none","none","2","1","none","none","-","-","39","8"
"lorient","total","total","61","8","0","0","2","1","0","0","0","0","63","9"
"sochaux","2006-07","ligue 1","36","8","5","0","3","1","none","none","-","-","44","9"
"marseille","2007-08","ligue 1","21","1","2","0","2","1","3","0","-","-","28","2"
"marseille","2008-09","ligue 1","28","3","none","none","none","none","9","0","-","-","37","3"
"marseille","total","total","49","4","2","0","2","1","12","0","0","0","65","5"
"wolfsburg","2009-10","bundesliga","10","0","2","0","none","none","4","0","-","-","16","0"
"wolfsburg","2010-11","bundesliga","5","0","2","0","none","none","0","0","-","-","7","0"
"wolfsburg","total","total","15","0","4","0","0","0","4","0","0","0","23","0"
"kayserispor","2010-11","super lig","13","0","0","0","none","none","0","0","-","-","13","0"
"el jaish","2011-12","qatar stars league","22","0","0","0","none","none","0","0","-","-","22","0"
"el jaish","2012-13","qatar stars league","19","1","0","0","-","-","7","0","-","-","26","1"
"el jaish","total","total","41","1","0","0","0","0","7","0","0","0","48","1"
"al-arabi","2013-14","qatar stars league","23","3","2","1","-","-","0","0","-","-","25","4"
"ajman","2014-15","uae pro-league","3","0","0","0","0","0","0","0","-","-","3","0"
"al-fujairah","2014-15","uae pro-league","11","0","0","0","0","0","0","0","-","-","11","0"
"petrolul ploiesti","2015-16","liga i","14","0","0","0","0","0","0","0","-","-","14","0"
"orleans","2016-17","ligue 2","32","3","0","0","1","0","0","0","2","0","35","3"
"orleans","2017-18","ligue 2","24","5","1","0","2","1","0","0","-","-","27","6"
"orleans","total","total","56","8","1","0","3","1","0","0","2","0","63","9"
"career total","career total","career total","386","33","18","1","12","4","23","0","2","0","441","38"
