"club","season","league","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"partick thistle","2011-12","scottish first division","31","2","2","0","0","0","0","0","33","2"
"partick thistle","2012-13","scottish first division","29","2","2","0","2","0","5","0","38","2"
"partick thistle","2013-14","scottish premiership","27","0","0","0","3","1","0","0","30","1"
"partick thistle","2014-15","scottish premiership","34","5","2","0","2","0","0","0","38","5"
"partick thistle","total","total","121","9","6","0","7","1","5","0","139","10"
"luton town","2015-16","league two","30","0","0","0","2","0","1","1","33","1"
"luton town","2016-17","league two","30","1","3","2","2","0","4","0","39","3"
"luton town","total","total","60","1","3","2","4","0","5","1","72","4"
"kilmarnock","2017-18","scottish premiership","36","2","4","2","4","0","-","-","44","4"
"kilmarnock","2018-19","scottish premiership","34","0","2","0","4","0","-","-","40","0"
"kilmarnock","total","total","70","2","6","2","8","0","-","-","84","4"
"career total","career total","career total","251","12","15","4","19","1","10","1","295","18"
