"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"grays athletic","2004-05","conference south","35","5","0","0","3","2","8","1","46","8"
"grays athletic","total","total","35","5","0","0","3","2","8","1","46","8"
"southend united","2005-06","league one","29","1","2","0","1","0","0","0","32","1"
"southend united","2006-07","championship","4","0","0","0","1","0","0","0","5","0"
"southend united","total","total","33","1","2","0","2","0","0","0","37","1"
"northampton town","2006-07","league one","8","1","0","0","0","0","1","0","9","1"
"northampton town","total","total","8","1","0","0","0","0","1","0","9","1"
"stevenage borough","2006-07","conference national","19","2","0","0","0","0","6","1","25","3"
"stevenage borough","2007-08","conference national","26","2","1","0","0","0","0","0","27","2"
"stevenage borough","2008-09","conference national","42","12","3","1","0","0","6","1","50","14"
"stevenage borough","2009-10","conference national","34","4","3","0","0","0","6","0","43","4"
"stevenage borough","total","total","121","20","7","1","0","0","18","2","146","23"
"oxford united","2010-11","league two","4","0","0","0","1","0","1","0","6","0"
"oxford united","total","total","4","0","0","0","1","0","1","0","6","0"
"stotfold","2011-12","ssmfl premier division","2","0","0","0","0","0","0","0","2","0"
"stotfold","total","total","2","0","0","0","0","0","0","0","2","0"
"hitchin town","2011-12","sfl premier division","11","1","1","0","0","0","2","0","14","1"
"hitchin town","total","total","11","1","1","0","0","0","2","0","14","1"
"biggleswade town","2011-12","sfl division one central","6","1","0","0","0","0","0","0","6","1"
"biggleswade town","total","total","6","1","0","0","0","0","0","0","6","1"
"arlesey town","2011-12","sfl premier division","10","1","0","0","0","0","0","0","10","1"
"arlesey town","total","total","10","1","0","0","0","0","0","0","10","1"
"career totals","career totals","career totals","230","30","10","1","6","2","30","3","276","36"
