"detailed motivation","total","open areas","residences","commercial businesses","educational institutions","religious institutions","other institutions","transportation and connected facilities"
"detailed motivation","number","percent","percent","percent","percent","percent","percent","percent"
"violent violations","4,569","34","27","17","8","2","7","5"
"race/ethnicity","2,412","36","24","20","7","0","6","5"
"black","838","36","27","16","8","0","7","6"
"east or southeast asian","248","41","15","25","8","0","5","6"
"south asian","294","42","19","25","4","0","3","6"
"arab or west asian","417","34","25","23","6","1","5","7"
"indigenous","137","47","25","12","7","0","6","2"
"white","129","33","22","16","11","0","12","6"
"other or not specified","349","26","28","25","8","1","9","4"
"religion","822","23","28","15","8","11","10","5"
"jewish","303","17","25","19","10","14","12","2"
"muslim","399","28","29","13","6","9","9","8"
"catholic","25","32","28","16","4","8","12","0"
"other or not specified","95","20","35","8","9","15","6","6"
"sexual orientation","940","39","28","15","8","0","6","4"
"other motivations","395","30","35","10","9","0","12","3"
"non-violent violations","7,221","28","25","13","15","9","7","3"
"race/ethnicity","3,131","32","28","15","16","1","5","3"
"black","1,273","33","27","11","21","1","4","3"
"east or southeast asian","198","31","32","25","2","1","5","4"
"south asian","166","34","33","22","4","0","2","5"
"arab or west asian","248","32","29","20","7","2","5","4"
"indigenous","126","37","21","17","10","2","10","2"
"white","149","32","30","12","16","2","5","3"
"other or not specified","971","30","26","15","18","1","6","3"
"religion","3,050","24","19","11","14","21","8","4"
"jewish","1,607","29","25","14","19","5","6","2"
"muslim","591","26","16","11","8","16","8","14"
"catholic","298","8","8","4","14","53","12","0"
"other or not specified","554","15","10","5","7","53","10","0"
"sexual orientation","539","27","42","10","14","1","4","2"
"other motivations","501","27","33","15","10","1","12","2"
