"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"portsmouth","1999-2000","first division","1","0","0","0","0","0","-","-","1","0"
"portsmouth","2000-01","first division","10","1","0","0","2","0","-","-","12","1"
"portsmouth","2001-02","first division","33","1","1","0","1","0","-","-","35","1"
"portsmouth","2002-03","first division","30","3","1","0","1","0","-","-","32","3"
"portsmouth","2003-04","premier league","3","2","0","0","2","0","-","-","5","2"
"portsmouth","2004-05","premier league","24","2","2","0","2","0","-","-","28","2"
"portsmouth","2005-06","premier league","36","6","2","0","1","1","-","-","39","7"
"portsmouth","2006-07","premier league","35","1","2","0","0","0","-","-","37","1"
"portsmouth","2007-08","premier league","2","0","0","0","1","0","-","-","3","0"
"portsmouth","total","total","174","16","8","0","10","1","0","0","192","17"
"walsall","2003-04","first division","7","0","0","0","0","0","-","-","7","0"
"cardiff city","2004-05","championship","9","1","0","0","0","0","-","-","9","1"
"middlesbrough","2007-08","premier league","26","3","3","0","0","0","-","-","29","3"
"middlesbrough","2008-09","premier league","29","3","4","0","2","0","-","-","35","3"
"middlesbrough","2009-10","championship","36","4","1","1","0","0","-","-","37","5"
"middlesbrough","2010-11","championship","18","0","1","1","0","0","-","-","19","1"
"middlesbrough","total","total","109","10","9","2","2","0","0","0","120","12"
"west ham united","2010-11","premier league","8","0","0","0","1","0","-","-","9","0"
"west ham united","2011-12","championship","16","2","1","0","0","0","3","0","20","2"
"west ham united","2012-13","premier league","24","1","1","0","2","0","-","-","27","1"
"west ham united","total","total","48","3","2","0","3","0","3","0","56","3"
"queens park rangers","2013-14","championship","29","1","1","0","0","0","3","0","33","1"
"norwich city","2014-15","championship","22","0","1","0","1","0","1","0","25","0"
"norwich city","2015-16","premier league","27","0","1","0","2","0","-","-","30","0"
"norwich city","total","total","49","0","2","0","3","0","1","0","55","0"
"career total","career total","career total","425","31","22","2","18","1","7","0","472","34"
