"ahl season","conference","division","regular season","regular season","regular season","regular season","regular season","regular season","regular season","regular season","regular season","regular season","postseason","postseason","postseason","postseason","postseason","postseason"
"ahl season","conference","division","finish","gp","w","l","t","otl","sol","pts","gf","ga","gp","w","l","gf","ga","result"
"2001-02","western","west ¤","1st","80","42","27","11","0","-","95","217","178","5","2","3","11","12","lost in conference quarterfinals, 2-3"
"2002-03","western","central ¤","1st","80","48","22","8","2","-","106","240","177","15","10","5","36","30","won in conference quarterfinals, 3-1 (penguins) won in conference semifinals, 4-0 (wolves) lost in conference finals, 3-4"
"2003-04","western","west","2nd","80","44","28","8","0","-","96","196","166","4","0","4","6","17","lost in division semifinals, 0-4"
"2004-05","western","west","5th","80","41","35","-","2","2","86","200","200","did not qualify","did not qualify","did not qualify","did not qualify","did not qualify","did not qualify"
"2005-06","western","north ¤","1st","80","55","20","-","1","4","115","323","247","15","8","7","44","52","won in division semifinals, 4-0 (marlies) won in division finals, 4-3 (moose) lost in conference finals, 0-4"
"2006-07","western","north","4th","80","37","32","-","6","5","85","226","244","7","3","4","13","16","lost in division semifinals, 3-4"
"2007-08","western","north","5th","80","31","41","-","2","6","70","210","245","did not qualify","did not qualify","did not qualify","did not qualify","did not qualify","did not qualify"
"2008-09","western","north","3rd","80","43","25","-","6","6","98","255","226","10","4","6","27","25","won in division semifinals, 4-2 (bulldogs) lost in division finals, 0-4"
"2009-10","western","north","7th","80","34","39","-","3","4","75","244","265","did not qualify","did not qualify","did not qualify","did not qualify","did not qualify","did not qualify"
"2010-11","western","north","6th","80","36","34","-","2","8","82","227","254","did not qualify","did not qualify","did not qualify","did not qualify","did not qualify","did not qualify"
"2011-12","western","north","4th","76","33","32","-","7","4","77","245","249","did not qualify","did not qualify","did not qualify","did not qualify","did not qualify","did not qualify"
"2012-13","western ^","midwest ¤","1st","76","42","26","-","4","4","92","234","205","24","15","9","80","61","won in conference quarterfinals, 3-2 (aeros) won in conference semifinals, 4-2 (marlies) won in conference finals, 4-3 (barons) won in calder cup finals, 4-2"
"2013-14","western","midwest","2nd","76","46","23","-","2","5","99","238","187","10","5","5","23","31","won in conference quarterfinals, 3-1 (heat) lost in conference semifinals, 2-4"
"2014-15","western","midwest","2nd","76","46","22","-","2","6","100","249","185","16","9","7","48","46","won in conference quarterfinals, 3-2 (marlies) won in conference semifinals, 4-1 (icehogs) lost in conference finals, 2-4"
"2015-16","western","central","4th","76","44","30","-","1","1","90","238","195","9","5","4","29","21","won in conference quarterfinals, 3-0 (admirals) lost in conference semifinals, 2-4"
"2016-17","western^","central","2nd","76","47","23","-","1","5","100","251","190","19","15","4","73","55","won in division semifinals, 3-0 (admirals) won in division finals, 4-1 (wolves) won in conference finals, 4-1 (barracuda) won in calder cup finals, 4-2"
"2017-18","western","central","2nd","76","42","25","-","2","7","93","237","210","5","2","3","14","15","lost in division semifinals, 2-3"
"2018-19","western","central","4th","76","38","27","-","7","4","87","217","222","5","2","3","17","15","lost in division semifinals, 2-3"
"ahl totals","ahl totals","ahl totals","ahl totals","1,408","749","512","27","50","71","1,649","3,966","3,845","147","74","57","430","399","13 playoff appearances"
"totals","totals","totals","totals","1,818","965","656","27","99","120","2,130","5,224","5,010","182","86","81","537","493","17 playoff appearances"
