"tuning system","definition of diminished second","definition of diminished second","size","size"
"tuning system","difference between semitones","equivalent to","cents","ratio"
"pythagorean tuning","m2 - a1","opposite of pythagorean comma","-23.46","524288:531441"
"1/12-comma meantone","m2 - a1","opposite of schisma","-1.95","32768:32805"
"12-tone equal temperament","m2 - a1","unison","0.00","1:1"
"1/6-comma meantone","m2 - a1","diaschisma","19.55","2048:2025"
"5-limit tuning","s3 - s2","diaschisma","19.55","2048:2025"
"1/4-comma meantone","m2 - a1","(lesser) diesis","41.06","128:125"
"5-limit tuning","s3 - s1","(lesser) diesis","41.06","128:125"
"1/3-comma meantone","m2 - a1","greater diesis","62.57","648:625"
"5-limit tuning","s4 - s1","greater diesis","62.57","648:625"
"19-tone equal temperament","m2 - a1","chromatic semitone","63.16","2^(1÷19):1"
