"parties","constituency","constituency","constituency","proportional","proportional","proportional","total","total"
"parties","votes","%","seats","votes","%","seats","seats","%"
"pheu thai","12,211,604","44.3","204","15,744,190","48.41","61","265","53.0%"
"democrat","8,907,140","32.3","115","11,433,762","35.15","44","159","31.8%"
"bhumjaithai","3,123,567","11.3","29","1,281,577","3.94","5","34","6.8%"
"chartthaipattana","1,259,595","4.6","15","906,656","2.79","4","19","3.8%"
"chart pattana puea pandin","1,098,159","4.0","5","494,894","1.52","2","7","1.4%"
"phalang chon","246,031","0.9","6","178,110","0.55","1","7","1.4%"
"rak thailand","","","0","998,603","3.07","4","4","0.8%"
"matubhum","330,633","1.2","1","251,702","0.77","1","2","0.4%"
"rak santi","122,968","0.4","0","284,132","0.87","1","1","0.2%"
"mahachon","","","0","133,772","0.41","1","1","0.2%"
"new democracy","","","0","125,784","0.39","1","1","0.2%"
"other parties","","","0","692,322","2.13","0","0","0.0%"
"valid votes","27,537,677","","375","32,525,504","","125","500","100%"
"none of the above","1,419,088","4.03%","","958,052","2.72%","","",""
"invalid votes","2,039,694","5.79%","","1,726,051","4.90%","","",""
"total turnouts","none","none","","none","none","","",""
"abstention","none","none","","none","none","","",""
"total electors","none","none","","none","none","","",""
"source: election of members of house of representatives b.e.2554","source: election of members of house of representatives b.e.2554","source: election of members of house of representatives b.e.2554","source: election of members of house of representatives b.e.2554","source: election of members of house of representatives b.e.2554","source: election of members of house of representatives b.e.2554","source: election of members of house of representatives b.e.2554","source: election of members of house of representatives b.e.2554","source: election of members of house of representatives b.e.2554"
