"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"peterborough united","2013-14","league one","1","0","1","0","0","0","1","0","3","0"
"stevenage","2014-15","league two","13","0","0","0","0","0","1","0","14","0"
"stevenage","2015-16","league two","32","2","1","0","1","0","1","0","35","2"
"stevenage","2016-17","league two","4","0","0","0","1","0","0","0","5","0"
"stevenage","2017-18","league two","12","0","2","0","0","0","3","0","17","0"
"total","total","total","61","2","3","0","2","0","5","0","71","2"
"billericay town","2017-18","il premier division","1","0","0","0","0","0","0","0","1","0"
"port vale","2018-19","league two","33","3","1","0","0","0","4","0","38","3"
"career total","career total","career total","96","5","5","0","2","0","10","0","113","5"
