"characteristic","institutional population","institutional population","institutional population","institutional population","household population","household population","household population","household population","total","total","total","total"
"characteristic","number '000","prevalence per 1,000","95% confidence interval","95% confidence interval","number '000","prevalence per 1,000","95% confidence interval","95% confidence interval","number '000","prevalence per 1,000","95% confidence interval","95% confidence interval"
"characteristic","number '000","prevalence per 1,000","from","to","number '000","prevalence per 1,000","from","to","number '000","prevalence per 1,000","from","to"
"total","10.6","40.4","39.0","41.9","128.6","4.0","3.6","4.4","139.2","4.1","3.7","4.4"
"sex","","","","","","","","","","","",""
"male","5.2","57.1","54.7","59.5","59.6","3.7","3.3","4.2","64.7","3.8","3.3","4.3"
"female","5.4","31.6","30.4","32.9","69.0","4.2","3.8","4.8","74.5","4.3","3.8","4.8"
"age group","","","","","","","","","","","",""
"0 to 17","0.2","33.0","25.1","40.9","18.8","2.9","2.3","3.6","19.0","2.7","2.1","3.4"
"18 to 44","2.1","195.0","181.7","208.3","48.6","4.0","3.4","4.7","50.7","4.0","3.4","4.6"
"45 to 64","3.7","140.0","134.1","145.8","44.9","4.8","4.1","5.7","48.6","5.0","4.2","5.7"
"65 to 79","2.3","46.9","44.6","49.3","13.4","4.0","3.2","5.1","15.8","4.4","3.5","5.2"
"80 or older","2.2","13.4","12.6","14.1","2.8","2.5","1.5","4.5","5.1","3.8","2.6","5.0"
"household income","","","","","","","","","","","",""
"less than $50,000","..","..","..","..","58.1","6.0","5.2","6.8","..","..","..",".."
"$50,000 to $99,000","..","..","..","..","36.7","3.4","2.8","4.1","..","..","..",".."
"$100,000 or more","..","..","..","..","26.2","2.9","2.4","3.5","..","..","..",".."
