"type of cancer and province","age group at diagnosis","age group at diagnosis","age group at diagnosis","age group at diagnosis","age group at diagnosis","age group at diagnosis","age group at diagnosis"
"type of cancer and province","total","0 to 39","40 to 49","50 to 59","60 to 69","70 to 79","80 or older"
"type of cancer and province","percentage linking with at least one dad record","percentage linking with at least one dad record","percentage linking with at least one dad record","percentage linking with at least one dad record","percentage linking with at least one dad record","percentage linking with at least one dad record","percentage linking with at least one dad record"
"prostate","","","","","","",""
"newfoundland and labrador","91.6","x","x","96.8","92.2","86.9","89.3"
"prince edward island","83.4",".","93.3","87.3","82.3","80.5","84.1"
"nova scotia","87.2","x","x","90.5","88.4","83.0","86.6"
"new brunswick","79.5",".","85.7","87.0","81.1","72.4","78.0"
"ontario","62.6","46.7","76.5","72.6","66.6","48.0","68.6"
"manitoba","77.2","x","x","87.4","79.4","69.0","77.2"
"saskatchewan","86.9",".","87.5","91.2","87.8","85.2","84.1"
"alberta","65.7","x","x","73.1","66.3","55.9","68.4"
"british columbia","80.9","66.7","90.2","85.9","84.0","75.6","79.7"
"female breast","","","","","","",""
"newfoundland and labrador","98.1","100.0","98.0","99.1","98.5","98.7","92.5"
"prince edward island","96.8","100.0","97.9","97.5","99.1","95.9","89.1"
"nova scotia","96.2","98.9","97.4","98.0","98.2","96.1","88.7"
"new brunswick","97.2","100.0","99.1","98.6","99.4","96.9","89.9"
"ontario","56.9","61.4","54.2","52.6","54.0","61.0","67.2"
"manitoba","95.6","97.7","98.7","98.4","98.5","96.0","84.1"
"saskatchewan","97.5","98.7","98.0","99.2","98.6","99.6","90.4"
"alberta","86.4","87.1","87.0","86.2","85.9","89.4","82.3"
"british columbia","95.6","94.2","95.6","96.8","97.4","96.7","89.2"
"colorectal","","","","","","",""
"newfoundland and labrador","98.7","100.0","97.8","98.2","99.4","99.1","97.3"
"prince edward island","98.6","100.0","100.0","98.2","100.0","97.9","98.0"
"nova scotia","97.4","100.0","98.6","99.1","99.5","98.1","93.3"
"new brunswick","97.0","95.7","97.9","98.6","96.0","97.8","95.7"
"ontario","93.5","90.9","90.1","92.1","93.3","95.3","93.6"
"manitoba","97.8","98.2","97.6","99.6","99.1","98.2","95.3"
"saskatchewan","98.0","96.7","98.4","99.4","99.1","99.4","94.9"
"alberta","94.4","87.8","93.5","93.9","94.8","95.8","93.5"
"british columbia","96.9","97.1","97.8","98.2","98.9","98.4","92.3"
"lung","","","","","","",""
"newfoundland and labrador","94.4","x","x","98.6","96.9","92.1","86.5"
"prince edward island","96.3",".","100.0","100.0","97.5","96.9","90.2"
"nova scotia","94.0","92.9","98.4","97.6","96.3","94.4","86.1"
"new brunswick","94.9","100.0","99.1","96.8","95.7","95.1","91.1"
"ontario","87.4","90.3","88.0","87.2","88.3","88.0","84.7"
"manitoba","94.1","90.9","96.9","97.2","96.1","94.3","89.3"
"saskatchewan","94.5","100.0","98.9","98.5","97.5","95.6","86.4"
"alberta","84.8","85.7","83.5","86.1","84.7","86.1","81.9"
"british columbia","92.8","100.0","96.4","95.9","95.0","94.0","85.7"
