"year","title","chart positions","chart positions","chart positions","chart positions","chart positions","album"
"year","title","u.s. hot 100","u.s. modern rock","u.s. mainstream rock","australian aria singles chart","uk singles chart","album"
"1990","annie's gone","","16","","","","third eye"
"1992","trance","","","","","",""
"1993","switchblade sister","","","","","",""
"1993","jimmy's fantasy","","","","","","phaseshifter"
"1993","lady in the front row","","","","97","","phaseshifter"
"1994","visionary","","","","","75","phaseshifter"
"1994","yesterday once more","","","","84","45","if i were a carpenter"
"1997","get out of myself","","","","","63","show world"
"1997","mess around","","","","","","show world"
"1997","secret life","","","","","","show world"
