"census metropolitan area","total crime","total crime","total crime","violent crime","violent crime","property crime","property crime","other criminal code offences","other criminal code offences","drug offences","drug offences"
"census metropolitan area","rate","percent change in rate 2016 to 2017","percent change in rate 2007 to 2017","rate","percent change in rate 2016 to 2017","rate","percent change in rate 2016 to 2017","rate","percent change in rate 2016 to 2017","rate","percent change in rate 2016 to 2017"
"st. john's","5,196","-9","-29","1,414","4","2,774","-19","1,008","5","119","-12"
"halifax","4,993","7","-37","1,253","22","2,853","1","887","8","260","4"
"moncton","7,241","17","..","1,363","-3","4,379","22","1,499","25","206","-12"
"saint john","4,569","4","..","1,373","6","2,393","0","803","12","124","-21"
"saguenay","3,295","-1","-25","968","-7","1,832","4","495","-6","283","16"
"quebec","3,193","7","-27","979","6","1,698","1","516","32","244","-9"
"sherbrooke","3,347","1","-30","770","6","1,667","-3","910","5","318","-7"
"trois-rivieres","3,290","12","-26","919","11","1,748","14","624","6","252","-13"
"montreal","3,363","-1","-40","918","2","2,040","-2","406","-2","272","1"
"gatineau","3,656","-1","-36","1,164","10","1,849","-3","642","-11","357","-13"
"ottawa","3,555","2","-33","716","16","2,307","-3","532","6","111","-13"
"kingston","5,060","7","-12","984","27","3,384","1","693","12","92","-5"
"peterborough","4,172","-2","-18","855","4","2,310","-3","1,007","-4","138","-19"
"toronto","3,115","5","-27","768","2","2,027","6","320","3","132","-14"
"hamilton","3,857","9","-30","821","7","2,532","10","504","8","226","2"
"st. catharines-niagara","3,781","7","-31","592","10","2,664","6","524","11","153","42"
"kitchener-cambridge-waterloo","5,205","11","1","1,031","21","3,213","8","962","13","231","-19"
"brantford","6,131","-1","-25","1,280","-2","3,912","-2","939","6","236","-6"
"guelph","4,942","9","3","827","11","3,221","3","893","31","252","6"
"london","5,592","2","-21","812","3","3,821","6","959","-14","176","-1"
"windsor","4,705","6","-23","709","-2","3,325","7","671","12","206","-10"
"barrie","3,501","-2","-40","766","3","1,902","-9","833","14","184","23"
"greater sudbury","5,575","21","1","1,026","6","3,420","29","1,128","15","120","-40"
"thunder bay","6,072","-3","-29","1,505","3","3,165","-7","1,403","2","93","8"
"winnipeg","6,991","5","-27","1,328","3","4,894","6","769","1","119","5"
"regina","8,681","-7","-26","1,142","-3","5,296","-7","2,243","-9","191","2"
"saskatoon","8,694","-3","-27","1,188","-1","5,076","-5","2,430","0","244","-7"
"calgary","5,588","2","-9","892","9","4,183","-1","513","23","107","-9"
"edmonton","8,614","5","-8","1,194","5","5,167","3","2,253","10","283","-3"
"kelowna","8,159","-3","-27","868","-7","5,656","0","1,636","-8","713","3"
"abbotsford-mission","6,772","-2","-35","1,074","-5","4,826","0","872","-9","199","-12"
"vancouver","6,935","-5","-25","941","-2","4,853","-5","1,141","-7","350","-9"
"victoria","5,546","-2","-39","1,196","4","3,558","-3","792","-9","227","-7"
"canada","5,334","1","-23","1,098","3","3,245","1","991","1","247","-7"
