"rank","athlete","attempts","attempts","attempts","attempts","attempts","attempts","result","note"
"rank","athlete","1","2","3","4","5","6","result","note"
"","kenny harrison","17.99","x","18.09","x","-","-","18.09 m","or"
"","jonathan edwards","x","x","17.13","17.88","x","x","17.88 m",""
"","yoelbi quesada","17.04","17.29","x","17.44","x","x","17.44 m",""
"4","mike conley","17.08","x","16.17","17.40","x","x","17.40 m",""
"5","armen martirosyan","16.85","x","16.97","16.48","x","16.34","16.97 m",""
"6","brian wellman","16.95","x","16.82","x","x","x","16.95 m",""
"7","galin georgiev","16.85","x","x","x","x","16.92","16.92 m",""
"8","robert howard","16.72","16.83","16.90","x","16.44","16.52","16.90 m",""
"","","","","","","","","",""
"9","viktor sotnikov","16.84","16.53","16.56","","","","16.84 m","none"
"10","volodymyr kravchenko","16.35","15.92","16.62","","","","16.62 m","none"
"11","frank rutherford","16.38","x","16.36","","","","16.38 m","none"
"-","jerome romain","x","-","-","","","","nm","none"
