"no","pos","nat","player","total","total","league two","league two","fa cup","fa cup","efl cup","efl cup","efl trophy","efl trophy"
"no","pos","nat","player","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"1","gk","england","sam walker","47","0","44","0","1","0","1","0","1","0"
"2","df","england","ryan jackson","45","2","41+1","2","1","0","1","0","0+1","0"
"4","mf","england","tom lapslie","31","0","27+2","0","0","0","1","0","1","0"
"5","df","england","luke prosser","16","1","14+2","1","0","0","0","0","0","0"
"6","df","england","frankie kent","41","3","37","2","1","0","1","1","2","0"
"7","fw","england","drey wright","47","3","38+6","3","1","0","1","0","1","0"
"8","mf","england","doug loft","13","0","10+2","0","1","0","0","0","0","0"
"9","fw","scotland","denny johnstone","3","0","1+1","0","0","0","0+1","0","0","0"
"10","mf","england","sammie szmodics","40","13","29+8","12","0","0","1","0","1+1","1"
"11","df","england","brennan dickenson","7","0","4+3","0","0","0","0","0","0","0"
"14","mf","montserrat","brandon comley","40","1","31+7","1","1","0","0","0","1","0"
"15","fw","republic of ireland","olamide shodipo","6","0","2+4","0","0","0","0","0","0","0"
"16","mf","republic of ireland","sean murray","40","3","18+19","3","0","0","1","0","2","0"
"17","mf","england","ben stevenson","13","2","10+3","2","0","0","0","0","0","0"
"18","df","england","tom eastman","45","3","41+1","3","1","0","0","0","2","0"
"19","fw","france","mikael mandron","49","10","42+2","10","1","0","1","0","2+1","0"
"20","fw","england","courtney senior","19","4","10+8","4","0","0","0","0","0+1","0"
"21","fw","england","liam mandeville","7","0","1+6","0","0","0","0","0","0","0"
"22","df","england","kane vincent-young","41","1","37+1","1","0","0","0","0","3","0"
"23","mf","wales","tommy o'sullivan","4","0","0+1","0","0+1","0","0","0","1+1","0"
"24","mf","scotland","craig slater","10","0","1+5","0","0+1","0","0+1","0","1+1","0"
"25","gk","england","dillon barnes","2","0","2","0","0","0","0","0","0","0"
"26","df","england","ryan inniss","19","0","18","0","1","0","0","0","0","0"
"27","fw","nigeria","junior ogedi-uzokwe","9","1","3+6","1","0","0","0","0","0","0"
"29","gk","republic of ireland","rene gilmartin","2","0","0","0","0","0","0","0","2","0"
"31","fw","england","tariq issa","3","0","0+2","0","0","0","0","0","1","0"
"32","mf","england","diaz wright","1","0","0","0","0","0","0","0","1","0"
"35","df","england","cameron james","11","0","3+4","0","0","0","1","0","3","0"
"36","fw","england","ryan gondoh","2","0","1+1","0","0","0","0","0","0","0"
"42","fw","england","eoin mckeown","1","1","0","0","0","0","0","0","0+1","1"
"players who appeared for colchester who left during the season","players who appeared for colchester who left during the season","players who appeared for colchester who left during the season","players who appeared for colchester who left during the season","players who appeared for colchester who left during the season","players who appeared for colchester who left during the season","players who appeared for colchester who left during the season","players who appeared for colchester who left during the season","players who appeared for colchester who left during the season","players who appeared for colchester who left during the season","players who appeared for colchester who left during the season","players who appeared for colchester who left during the season","players who appeared for colchester who left during the season","players who appeared for colchester who left during the season"
"3","df","england","lewis kinsella","14","0","4+5","0","0+1","0","0+1","0","3","0"
"12","df","england","cole kpekawa","8","0","4+2","0","0","0","1","0","1","0"
"15","fw","england","nicke kabamba","10","0","3+5","0","0","0","0","0","1+1","0"
"17","fw","england","kyel reid","19","3","13+4","3","1","0","1","0","0","0"
"21","fw","england","brandon hanlan","20","2","10+8","2","1","0","0","0","0+1","0"
"27","fw","england","sanmi odelusi","10","1","0+8","1","0","0","0","0","2","0"
"28","fw","england","kurtis guthrie","13","1","7+5","1","0","0","0","0","1","0"
