"province and territory","total crime severity index","total crime severity index","total crime severity index","violent crime severity index","violent crime severity index","non-violent crime severity index","non-violent crime severity index"
"province and territory","index","percent change 2014 to 2015","percent change 2005 to 2015","index","percent change 2014 to 2015","index","percent change 2014 to 2015"
"newfoundland and labrador","65.6","5","-16","66.4","15","65.2","2"
"prince edward island","49.7","-10","-35","40.8","-14","52.8","-8"
"nova scotia","61.9","-7","-39","67.5","1","59.8","-10"
"new brunswick","63.0","12","-21","60.4","4","63.8","15"
"quebec","55.7","-3","-38","65.8","4","51.9","-5"
"ontario","50.6","2","-34","59.2","3","47.4","1"
"manitoba","104.3","8","-33","135.9","6","92.6","9"
"saskatchewan","135.8","10","-25","134.8","9","135.9","10"
"alberta","102.3","18","-16","96.5","12","104.2","20"
"british columbia","94.7","4","-35","83.0","7","98.8","2"
"yukon","183.6","-2","-8","207.7","-13","174.4","3"
"northwest territories","319.0","10","-7","357.7","28","304.3","4"
"nunavut","270.2","-4","-17","380.5","-15","229.5","3"
"canada","69.7","5","-31","74.5","6","67.8","4"
