"club","season","division","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"northwich victoria","1991-92","football conference","14","4","0","0","0","0","0","0","14","4"
"northwich victoria","1992-93","football conference","5","0","0","0","0","0","0","0","5","0"
"northwich victoria","total","total","19","4","0","0","0","0","0","0","19","4"
"cambridge united","1992-93","first division","4","1","0","0","1","0","0","0","5","1"
"preston north end","1991-92","third division","5","0","?","?","?","?","?","?","5","0"
"preston north end","1992-93","second division","26","0","?","?","?","?","?","?","26","0"
"preston north end","1993-94","third division","38","11","?","?","?","?","?","?","38","11"
"preston north end","1994-95","third division","16","1","?","?","?","?","?","?","16","1"
"preston north end","1995-96","third division","2","0","?","?","?","?","?","?","2","0"
"preston north end","total","total","87","12","4","0","5","0","10","2","106","14"
"lincoln city","1995-96","third division","32","12","1","0","0","0","4","1","37","13"
"lincoln city","1996-97","third division","45","22","1","0","6","2","0","0","52","24"
"lincoln city","1997-98","third division","6","3","0","0","2","1","0","0","8","4"
"lincoln city","total","total","83","37","2","0","8","3","4","1","97","41"
"port vale","1997-98","first division","39","5","2","0","0","0","0","0","41","5"
"port vale","1998-99","first division","15","5","0","0","2","1","0","0","17","6"
"port vale","total","total","54","10","2","0","2","1","0","0","58","11"
"wimbledon","1998-99","premier league","8","0","0","0","0","0","0","0","8","0"
"wimbledon","1999-2000","premier league","2","2","0","0","0","0","0","0","2","2"
"wimbledon","2000-01","first division","12","2","6","1","0","0","0","0","18","3"
"wimbledon","2001-02","first division","2","0","0","0","0","0","0","0","2","0"
"wimbledon","2002-03","first division","12","2","1","0","2","0","0","0","15","2"
"wimbledon","total","total","36","6","7","1","2","0","0","0","45","7"
"preston north end","2001-02","first division","5","1","0","0","0","0","0","0","5","1"
"walsall","2002-03","first division","5","1","0","0","0","0","0","0","5","1"
"cardiff city","2002-03","second division","9","0","0","0","0","0","0","0","9","0"
"queens park rangers","2003-04","second division","29","6","1","0","3","1","2","0","35","7"
"queens park rangers","2004-05","championship","22","2","1","0","0","0","0","0","23","2"
"queens park rangers","2005-06","championship","43","9","1","0","0","0","0","0","44","9"
"queens park rangers","2006-07","championship","22","1","1","0","0","0","0","0","23","1"
"queens park rangers","2007-08","championship","24","2","1","0","0","0","0","0","25","2"
"queens park rangers","2008-09","championship","0","0","0","0","0","0","0","0","0","0"
"queens park rangers","2009-10","championship","1","0","0","0","1","0","0","0","2","0"
"queens park rangers","total","total","141","20","5","0","4","1","2","0","152","21"
"wycombe wanderers","2009-10","league one","14","2","0","0","0","0","0","0","14","2"
"wycombe wanderers","2010-11","league two","43","10","3","1","0","0","0","0","46","11"
"wycombe wanderers","2011-12","league one","32","2","0","0","0","0","0","0","32","2"
"wycombe wanderers","2012-13","league two","25","2","0","0","0","0","0","0","25","2"
"wycombe wanderers","2016-17","league two","0","0","0","0","0","0","1","0","1","0"
"wycombe wanderers","2017-18","league two","0","0","0","0","0","0","0","0","0","0"
"wycombe wanderers","total","total","112","16","3","1","0","0","1","0","116","17"
"career total","career total","career total","555","108","23","2","22","5","17","3","617","118"
