"club","season","league","league","league","national cup","national cup","league cup","league cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"vikingur reykjavik","2011","urvalsdeild karla","9","2","0","0","2","0","none","none","11","2"
"vikingur reykjavik","2012","1. deild karla","15","1","2","1","1","0","none","none","18","2"
"vikingur reykjavik","2013","1. deild karla","14","14","3","1","4","1","none","none","21","16"
"vikingur reykjavik","2014","urvalsdeild karla","16","5","4","2","5","1","none","none","25","8"
"vikingur reykjavik","total","total","54","22","9","4","12","2","0","0","75","28"
"aalesunds","2015","tippeligaen","18","5","1","0","none","none","19","5","none","none"
"aalesunds","2016","tippeligaen","29","3","2","0","none","none","31","3","none","none"
"aalesunds","2017","eliteserien","24","1","2","0","none","none","26","1","none","none"
"aalesunds","2018","obos-ligaen","26","3","0","0","none","none","26","3","none","none"
"aalesunds","2019","obos-ligaen","2","0","0","0","none","none","2","0","none","none"
"aalesunds","total","total","99","12","5","0","0","0","0","0","104","12"
"career total","career total","career total","150","34","13","4","12","2","0","0","175","40"
